Date,Tournament,Surface,Rd,,Score
21-Dec-1970,Adelaide,Grass,F,Morozova / Kerry Harris [AUS] d. Patti Hogan / Sharon Walsh Pete [USA],8-6 6-8 6-3
05-Oct-1970,Alma Ata,,F,Morozova / Zaiga Yansone [URS] d. Krychkova / Anna Yeremeyeva [URS],6-2 6-2
17-Aug-1970,Moscow Intl,,F,Morozova / Tiiu Kivi [EST] d. Peggy Michel / Valerie Ziegenfuss [USA],3-6 6-2 6-4
03-Aug-1970,Sofia,Clay,F,Morozova / Tiiu Kivi [EST] d. Yevgenia Izopaitis / Krasina [URS],6-2 6-1
16-Feb-1970,Moscow Indoors,Carpet,F,Nell Truman / Joyce Williams [GBR] d. Morozova / Zaiga Yansone [URS],7-5 7-5
02-Feb-1970,Moscow All Soviet Chps,Carpet,F,Morozova / Zaiga Yansone [URS] d. Maria Kull [URS] / Tiiu Kivi [EST],6-3 6-4
05-Jan-1970,Moscow,Carpet,F,Morozova / Zaiga Yansone [URS] d. Anna Islanova / Yevgenia Izopaitis [URS],6-2 6-2
27-Oct-1969,Tashkent,,F,Morozova / Zaiga Yansone [URS] d. Galina Baksheeva / Marina Chuvirina [URS],7-5 6-4
15-Sep-1969,Turin,Clay,F,Morozova / Zaiga Yansone [URS] d. Marina Chuvirina [URS] / Tiiu Kivi [EST],6-1 4-6 6-3
10-Aug-1969,Moscow Intl,Clay,F,Morozova / Zaiga Yansone [URS] d. Galina Baksheeva / Marina Chuvirina [URS],6-3 6-2
16-Feb-1969,Moscow Indoors,Carpet,F,Morozova / Zaiga Yansone [URS] d. Tiiu Kivi [EST] / Maria Kull [URS],6-4 8-6
03-Feb-1969,USSR All Union,Carpet,F,Morozova / Zaiga Yansone [URS] d. Galina Baksheeva / Marina Chuvirina [URS],0-6 7-5 6-1
28-Oct-1968,Tbilisi,Carpet,F,Galina Baksheeva / Marina Chuvirina [URS] d. Morozova / Tatiana Chalko [URS],1-6 6-3 6-3
12-Aug-1968,Moscow Intl,Clay,F,Morozova / Marina Chuvirina [URS] d. Kerry Harris / Lesley Hunt [AUS],6-2 6-3
08-Jul-1968,Bastad,Clay,F,Morozova / Eva Lundquist [SWE] d. Kathleen Harter / Julie Heldman [USA],6-0 6-4
22-May-1968,Fed Cup WG R2: URS vs ITA,Clay,RR,Morozova / Galina Baksheeva [URS] d. Francesca Gordigiani / Lea Pericoli [ITA],6-2 6-3
19-Feb-1968,Moscow Indoor Chps,Carpet,F,Galina Baksheeva / Anna Dmitrieva [URS] d. Morozova / Rauza Islanova [URS],6-2 7-5
13-Feb-1967,Moscow Indoors,Carpet,F,Galina Baksheeva / Anna Dmitrieva [URS] d. Morozova / Tatiana Chalko [URS],6-2 6-1
