Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,2,Hard,2,0,2,0.0%,0,0,0,-,2025,2026,Q1,2,0.89,3.9%,9.9%,59.2%,74.4%,35.5%,58.6%,36.8%,11.1%,46.2%
Roland Garros,1,Clay,2,1,1,50.0%,1,0,1,0.0%,2025,2025,Q2,2,1.22,3.3%,2.7%,63.3%,66.3%,50.9%,60.7%,47.8%,30.0%,44.4%
Wimbledon,1,Grass,3,2,1,66.7%,2,1,1,50.0%,2025,2025,Q3,3,1.03,9.1%,4.6%,66.9%,71.0%,47.1%,63.1%,37.9%,72.4%,47.4%
US Open,2,Hard,9,7,2,77.8%,3,3,0,100.0%,2024,2025,R64,9,1.05,6.4%,6.7%,59.1%,66.9%,43.8%,57.5%,44.7%,55.2%,45.9%
Austin,2,Hard,6,4,2,66.7%,2,1,1,50.0%,2025,2026,QF,6,1.11,6.3%,4.1%,60.3%,67.8%,49.5%,60.5%,43.7%,57.1%,46.4%
Tokyo,3,Hard,3,0,3,0.0%,0,0,0,-,2022,2025,Q1,3,0.85,3.4%,3.0%,67.4%,54.4%,46.0%,51.7%,40.9%,57.1%,39.3%
Osaka,2,Hard,4,2,2,50.0%,3,3,0,100.0%,2024,2025,R32,4,0.86,4.4%,4.1%,64.5%,63.8%,42.5%,56.2%,37.8%,61.7%,17.6%
BJK Cup Finals,2,Hard,3,2,1,66.7%,2,1,1,50.0%,2024,2025,W,0,,,,,,,,,,
Guadalajara,3,Hard,9,6,3,66.7%,4,1,3,25.0%,2023,2025,R16,9,1.20,5.9%,6.4%,60.7%,73.6%,48.3%,63.7%,43.6%,64.4%,52.5%
Nottingham,2,Grass,5,3,2,60.0%,2,1,1,50.0%,2024,2025,R32,5,1.12,4.5%,3.3%,63.7%,68.4%,44.4%,59.7%,45.3%,61.2%,53.7%
