Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2025 US Open R128,L vs Raducanu,0.84,0.36,28.3,2.0,0.0%,45.5%,0.0%,50.0%,26.1%,18.2%
2024 US Open R64,L vs Swiatek,1.08,0.33,38.4,2.0,3.6%,57.1%,0.0%,25.9%,22.2%,12.5%
2024 US Open Q3,W vs Hartono,1.03,1.20,69.3,4.0,13.3%,68.9%,2.4%,38.1%,55.0%,52.8%
2019 W60 Kurume QF,L vs Naito,0.85,0.74,43.4,2.4,-,56.4%,-,53.1%,40.0%,38.8%
2019 W60 Fukuoka R32,L vs Bektas,0.91,0.45,40.1,2.0,6.3%,65.6%,10.0%,53.3%,20.0%,20.0%
2019 Indian Wells 125K R64,L vs Liu,0.97,0.57,39.4,2.1,3.8%,30.8%,0.0%,47.8%,36.0%,36.4%
2017 Sacramento CA $60K R32,W vs Xu,1.19,1.39,56.0,9.5,5.3%,65.8%,0.0%,59.4%,37.2%,50.0%
2017 Auburn AL $25K R32,L vs Imanishi,1.08,0.81,66.2,6.6,2.0%,37.3%,0.0%,64.0%,38.1%,36.8%
2017 Baton Rouge LA $25K R32,L vs Shaffer,1.05,0.68,54.8,2.0,5.1%,53.8%,0.0%,59.5%,28.1%,27.6%
2025 (1 matches),,0.84,0.36,28.3,2.0,0.0%,45.5%,0.0%,50.0%,26.1%,18.2%
2024 (2 matches),,1.05,0.88,58.4,2.7,9.6%,64.4%,1.4%,33.3%,44.8%,40.4%
2019 (3 matches),,0.89,0.64,41.6,2.1,2.7%,53.1%,2.9%,52.0%,34.0%,34.1%
2017 (3 matches),,1.10,0.92,59.6,4.0,3.9%,50.8%,0.0%,61.3%,35.0%,39.3%
Career (9 matches),,1.01,0.77,51.1,2.6,4.5%,54.2%,1.3%,51.3%,35.9%,36.0%
