Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2026 Indian Wells R16,L vs Alcaraz,24.1%,30.4%,40.0%,31.3%,30.8%,36.5%,47.2%,41.7%,43.5%,51.7%,33.3%,11.1%,18.5%,29.2%,-79
2026 Indian Wells R32,W vs Vacherot,26.8%,43.9%,60.3%,36.0%,34.4%,49.2%,57.5%,46.7%,41.9%,53.3%,100.0%,5.3%,31.6%,66.7%,-66
2026 Delray Beach R16,W vs Giron,39.0%,48.6%,50.0%,44.0%,52.0%,62.7%,44.4%,58.9%,58.3%,43.6%,66.7%,6.7%,13.3%,57.1%,-79
2026 United Cup RR,W vs De Minaur,36.4%,43.9%,53.8%,45.6%,40.4%,51.1%,64.3%,53.4%,50.0%,26.1%,0.0%,31.3%,31.3%,27.3%,160
2025 Stockholm F,W vs Humbert,30.8%,53.8%,88.9%,40.0%,41.7%,66.7%,85.7%,56.7%,41.7%,25.0%,-,13.3%,33.3%,92.3%,-79
2025 Stockholm SF,W vs Shapovalov,23.8%,42.9%,59.6%,36.2%,26.8%,56.1%,76.7%,45.9%,70.0%,19.0%,0.0%,19.0%,19.0%,29.4%,-10
2025 Stockholm QF,W vs Korda,34.0%,45.0%,57.1%,41.4%,46.6%,63.8%,61.3%,59.3%,52.0%,48.5%,100.0%,17.9%,20.5%,53.1%,29
2025 Stockholm R16,W vs Cilic,45.1%,64.7%,74.1%,52.5%,60.0%,71.4%,78.6%,70.9%,42.9%,57.1%,-,13.3%,53.3%,69.2%,16
2025 Tokyo SF,L vs Alcaraz,34.4%,40.0%,49.1%,38.0%,40.6%,46.9%,47.4%,45.6%,43.3%,50.0%,0.0%,20.8%,25.0%,52.6%,37
2025 Tokyo QF,W vs Vukic,35.4%,58.3%,67.7%,45.0%,40.0%,60.0%,66.7%,51.5%,55.6%,40.9%,100.0%,12.5%,50.0%,71.4%,-79
2025 Tokyo R16,W vs Berrettini,29.8%,54.4%,69.2%,43.5%,33.3%,61.9%,78.6%,51.9%,29.4%,36.0%,-,21.4%,35.7%,45.5%,22
2025 US Open R64,L vs Collignon,29.3%,37.9%,51.0%,35.1%,38.1%,48.8%,59.6%,47.7%,35.9%,33.3%,60.0%,17.0%,22.6%,40.9%,2
2025 Canada R16,L vs Khachanov,26.4%,40.3%,46.0%,31.4%,33.3%,45.8%,34.4%,40.8%,47.8%,16.0%,0.0%,14.3%,33.3%,66.7%,25
2025 Canada R64,W vs Safiullin,34.4%,45.9%,47.4%,40.5%,41.5%,53.7%,54.2%,50.5%,36.4%,36.8%,100.0%,22.2%,33.3%,35.7%,72
2025 Roland Garros R128,W vs Ramos,30.0%,42.5%,58.5%,37.3%,34.5%,48.3%,60.5%,44.5%,57.7%,34.4%,0.0%,21.1%,31.6%,53.3%,82
2025 Rome QF,L vs Sinner,9.1%,18.2%,26.3%,16.4%,13.0%,30.4%,35.0%,27.0%,42.9%,55.6%,50.0%,5.3%,5.3%,16.7%,-66
2025 Rome R16,W vs Munar,24.1%,35.2%,72.5%,33.3%,28.1%,40.6%,69.6%,43.8%,56.3%,56.3%,100.0%,19.0%,28.6%,76.5%,-10
2025 Rome R64,W vs Bublik,38.5%,47.4%,56.5%,41.7%,41.7%,52.1%,60.7%,46.9%,42.9%,29.6%,0.0%,35.7%,42.9%,50.0%,22
2025 Madrid F,W vs Draper,21.9%,39.6%,58.8%,30.6%,35.1%,56.1%,70.3%,49.8%,60.7%,55.2%,66.7%,3.1%,18.8%,45.2%,-90
2025 Madrid SF,W vs Cerundolo,24.7%,32.9%,44.3%,31.8%,33.9%,44.6%,43.2%,44.6%,56.5%,51.5%,55.6%,7.7%,11.5%,45.8%,-42
Career (220 matches),,27.2%,39.3%,55.5%,34.6%,33.2%,48.0%,58.9%,44.6%,47.3%,49.5%,50.9%,17.4%,24.9%,49.9%,39
