Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Indian Wells R16,L vs Alcaraz,1.4%,0.0%,7.9%,40.0%,16.4%,16.7%,12.5%,1.9%,0.0%,1.1%,0.0%,-38,-52
2026 Indian Wells R32,W vs Vacherot,1.3%,100.0%,6.7%,72.7%,20.2%,28.9%,28.6%,8.1%,37.5%,2.3%,33.3%,-9,-9
2026 Delray Beach R16,W vs Giron,2.4%,100.0%,6.5%,92.3%,10.8%,15.0%,37.5%,6.4%,28.6%,0.7%,50.0%,-27,9
2026 United Cup RR,W vs De Minaur,1.7%,0.0%,7.6%,90.0%,12.5%,15.4%,25.0%,12.5%,33.3%,0.5%,100.0%,0,24
2025 Stockholm F,W vs Humbert,0.0%,-,10.2%,100.0%,22.4%,43.8%,11.8%,11.4%,33.3%,1.2%,0.0%,-30,-2
2025 Stockholm SF,W vs Shapovalov,1.6%,100.0%,13.7%,87.5%,22.5%,24.0%,11.1%,10.6%,37.5%,1.1%,0.0%,-11,-15
2025 Stockholm QF,W vs Korda,0.0%,-,9.1%,68.4%,20.4%,27.3%,33.3%,6.0%,7.7%,1.4%,75.0%,-26,0
2025 Stockholm R16,W vs Cilic,0.0%,-,8.8%,100.0%,26.2%,50.0%,50.0%,28.3%,61.5%,2.1%,25.0%,-5,67
2025 Tokyo SF,L vs Alcaraz,1.2%,0.0%,11.2%,36.8%,14.5%,25.0%,0.0%,9.5%,14.3%,2.0%,0.0%,-5,-37
2025 Tokyo QF,W vs Vukic,0.0%,-,3.4%,66.7%,30.2%,11.1%,0.0%,11.5%,66.7%,0.0%,-,-32,-35
2025 Tokyo R16,W vs Berrettini,0.0%,-,10.7%,69.2%,27.3%,34.6%,66.7%,14.3%,37.5%,1.1%,0.0%,-5,18
2025 US Open R64,L vs Collignon,0.8%,0.0%,8.3%,76.0%,12.4%,17.7%,17.4%,9.3%,44.4%,1.0%,20.0%,-19,-5
2025 Canada R16,L vs Khachanov,0.0%,-,4.8%,16.7%,16.7%,33.3%,50.0%,0.0%,0.0%,1.5%,33.3%,-14,9
2025 Canada R64,W vs Safiullin,0.0%,-,6.4%,71.4%,16.3%,25.0%,0.0%,4.4%,20.0%,0.0%,-,-27,-43
2025 Roland Garros R128,W vs Ramos,0.0%,-,7.6%,61.5%,14.1%,13.9%,6.7%,7.3%,5.0%,2.2%,62.5%,4,13
2025 Rome QF,L vs Sinner,0.0%,-,5.2%,25.0%,9.3%,29.4%,20.0%,0.0%,0.0%,1.1%,0.0%,-138,-135
2025 Rome R16,W vs Munar,1.9%,100.0%,18.3%,66.7%,14.2%,18.4%,16.7%,1.6%,12.5%,1.6%,25.0%,-50,-40
2025 Rome R64,W vs Bublik,1.4%,100.0%,9.2%,62.5%,14.3%,26.3%,25.0%,5.0%,11.1%,0.0%,-,-102,-67
2025 Madrid F,W vs Draper,1.1%,100.0%,7.6%,66.7%,15.6%,13.8%,3.7%,7.9%,11.1%,1.6%,50.0%,-42,-42
2025 Madrid SF,W vs Cerundolo,2.5%,50.0%,14.7%,54.5%,12.3%,4.5%,25.0%,7.8%,18.2%,0.8%,50.0%,-42,-24
Career (220 matches),,1.2%,70.3%,9.5%,70.2%,15.2%,19.4%,12.1%,6.5%,24.7%,1.1%,29.9%,-47,-35
