Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2021,437,118,,,,,,,,,,,,
2020,336,158,,,,,,,,,311,253,,
2019,351,139,,,,,,,,,302,245,,
2018,484,50,,,,,,,,,257,276,,
2017,348,125,,,,,,,,,305,209,,
2016,339,118,,,,,,,,,257,235,,
2015,318,129,,,,,,,,,299,191,,
2014,308,121,262,1346,256,1330,232,1316,,,260,202,,
2013,201,314,198,1526,174,1514,201,1437,201,1363,260,251,,
2012,188,330,265,1377,261,1339,220,1397,205,1342,218,302,,
2011,188,335,221,1455,233,1384,178,1451,,,225,318,,
2010,380,111,,,,,,,,,488,82,,
2009,548,48,,,,,,,,,,,,
