Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Indian Wells R32,L vs Zverev,5.9%,80.0%,9.7%,85.0%,15.3%,20.0%,11.1%,6.0%,44.4%,1.5%,0.0%,-25,10
2026 Australian Open R128,L vs Van De Zandschulp,0.9%,100.0%,7.9%,85.7%,8.4%,10.0%,9.1%,4.9%,30.0%,0.5%,50.0%,-73,-32
2026 Brisbane F,L vs Medvedev,8.0%,100.0%,7.9%,90.0%,5.8%,7.7%,12.5%,8.5%,30.8%,1.1%,33.3%,-61,-89
2026 Brisbane R16,W vs Halys,0.0%,-,4.3%,80.0%,28.3%,15.4%,50.0%,3.2%,0.0%,0.7%,0.0%,-81,-83
2025 Almaty R32,W vs Medjedovic,0.0%,-,8.5%,63.6%,18.4%,26.7%,0.0%,6.7%,0.0%,0.0%,-,-105,-86
2025 Tokyo QF,L vs Alcaraz,1.6%,0.0%,16.5%,38.9%,13.6%,13.0%,20.0%,3.0%,0.0%,0.6%,0.0%,-108,-131
2025 US Open R128,W vs De Jong,1.5%,50.0%,11.8%,82.9%,12.2%,15.7%,7.1%,8.8%,27.3%,0.7%,66.7%,23,38
2025 Wimbledon R32,L vs Sonego,0.0%,-,11.6%,51.1%,19.2%,19.1%,23.5%,11.3%,36.4%,0.7%,50.0%,-35,-23
2025 Stuttgart R32,W vs Fearnley,2.7%,50.0%,8.8%,60.0%,10.8%,30.8%,0.0%,4.5%,0.0%,0.0%,-,-81,2
2025 Roland Garros R128,L vs Navone,0.8%,100.0%,12.2%,71.9%,9.2%,20.4%,11.8%,3.9%,10.3%,3.5%,26.1%,-29,-44
2025 Indian Wells R32,W vs Arnaldi,2.5%,100.0%,11.9%,83.3%,18.4%,11.8%,40.0%,6.4%,16.7%,0.0%,-,-26,-61
2025 Australian Open R128,L vs Shelton,2.0%,0.0%,10.3%,47.8%,11.3%,13.6%,12.5%,3.0%,9.1%,0.6%,0.0%,-80,-30
2024 Hong Kong R32,L vs Sonego,6.0%,100.0%,10.3%,75.0%,5.9%,0.0%,50.0%,2.9%,0.0%,0.0%,-,-57,-94
2024 Vienna R32,W vs Paul,1.9%,0.0%,10.6%,66.7%,12.7%,21.4%,0.0%,5.7%,57.1%,0.4%,0.0%,-106,-96
2024 Tokyo R16,L vs Humbert,0.0%,-,6.5%,50.0%,8.8%,11.1%,14.3%,2.9%,0.0%,0.0%,-,-157,-161
2024 Tokyo R32,W vs Tiafoe,0.0%,-,6.8%,62.5%,16.7%,26.1%,0.0%,8.2%,36.4%,0.0%,-,-99,-89
2024 US Open R32,W vs Musetti,0.0%,-,13.5%,78.8%,7.7%,0.0%,0.0%,7.8%,0.0%,1.5%,12.5%,-91,-71
2024 US Open R128,W vs Rune,0.0%,-,7.0%,90.9%,9.4%,13.9%,0.0%,7.1%,44.4%,0.7%,50.0%,-74,-9
2024 Canada R16,L vs Rublev,1.9%,0.0%,4.2%,50.0%,12.8%,0.0%,0.0%,2.6%,20.0%,0.0%,-,-4,-39
2024 Stuttgart SF,L vs Draper,5.1%,66.7%,11.4%,46.2%,7.4%,0.0%,20.0%,20.8%,40.0%,0.0%,-,-52,-65
Career (55 matches),,2.5%,66.4%,11.0%,69.7%,12.6%,16.0%,11.6%,7.1%,26.1%,0.8%,39.1%,-46,-30
