Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,5,Hard,5,0,5,0.0%,8,1,7,12.5%,2022,2026,R128,5,0.91,9.1%,2.7%,68.4%,75.4%,53.2%,68.4%,28.9%,63.6%,30.4%
Roland Garros,6,Clay,9,3,6,33.3%,10,4,6,40.0%,2020,2025,R32,9,1.02,7.1%,2.6%,66.8%,68.4%,51.7%,62.8%,37.8%,61.9%,30.1%
Wimbledon,5,Grass,15,10,5,66.7%,13,4,9,30.8%,2021,2025,R16,15,1.28,9.3%,1.8%,67.6%,77.5%,58.8%,71.4%,36.5%,73.0%,40.6%
US Open,7,Hard,16,9,7,56.3%,13,9,4,69.2%,2018,2025,R16,16,1.06,9.8%,2.9%,61.7%,74.3%,52.6%,66.0%,36.2%,69.9%,41.1%
Davis Cup,1,,3,3,0,100.0%,2,2,0,100.0%,2024,2024,,3,1.28,16.7%,1.9%,70.5%,75.0%,59.7%,70.5%,37.8%,77.8%,25.0%
Miami Masters,6,Hard,13,7,6,53.8%,8,2,6,25.0%,2021,2026,R16,13,1.13,12.9%,1.4%,68.1%,77.4%,55.3%,70.4%,33.5%,64.0%,35.5%
Indian Wells Masters,7,Hard,14,7,7,50.0%,6,3,3,50.0%,2018,2026,R16,14,1.05,9.1%,1.0%,61.3%,75.8%,52.9%,67.0%,34.6%,53.2%,33.3%
Acapulco,5,Hard,15,10,5,66.7%,5,3,2,60.0%,2021,2026,SF,15,1.21,9.4%,2.2%,64.0%,74.9%,52.3%,66.8%,40.2%,63.6%,35.3%
Delray Beach,4,Hard,10,6,4,60.0%,7,4,3,57.1%,2020,2026,QF,10,1.19,11.0%,1.8%,63.8%,74.6%,57.9%,68.5%,37.3%,63.6%,45.5%
Dallas,3,Hard,5,2,3,40.0%,3,1,2,33.3%,2022,2026,R16,5,0.96,13.5%,0.6%,72.2%,74.6%,58.2%,70.0%,28.9%,73.7%,20.0%
Paris Masters,3,Hard,3,0,3,0.0%,0,0,0,-,2022,2025,R64,3,0.77,7.4%,1.7%,60.3%,68.8%,54.9%,63.3%,28.3%,46.7%,23.1%
