Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2024 US Open R16,L vs Zverev,107.1,116.1,7.7,122.0,110.5,131,99,91.8,6.1,98.8,92.0,105,79
2024 US Open R32,W vs Musetti,107.9,117.4,9.1,123.0,109.5,132,93,88.8,6.5,92.8,92.8,106,74
2024 US Open R64,W vs Cazaux,107.1,114.2,9.6,118.6,107.1,132,89,89.7,9.2,92.0,89.3,108,71
2024 US Open R128,W vs Rune,112.4,119.0,7.5,124.9,113.1,131,104,97.6,7.6,106.0,,111,84
2024 Wimbledon R32,L vs Humbert,110.0,115.2,7.1,120.2,109.7,127,97,97.9,4.9,102.9,97.3,109,88
2023 US Open R128,L vs Djere,109.1,115.5,7.1,120.8,110.8,129,94,98.1,7.7,97.0,94.8,110,73
2022 US Open R32,L vs Sinner,108.2,116.2,7.3,121.2,111.4,126,100,95.9,5.5,97.1,92.6,107,84
2022 US Open R64,W vs Dimitrov,109.2,116.3,6.2,119.8,112.2,127,101,95.0,5.1,95.9,93.6,104,79
2022 US Open R128,W vs Kotov,106.7,114.6,6.6,120.2,110.5,126,101,92.7,7.5,102.2,90.8,106,79
2022 Wimbledon R16,L vs Kyrgios,109.6,115.9,4.3,118.2,113.0,124,107,99.0,4.8,99.4,95.7,107,89
2022 Wimbledon R32,W vs Galan,107.9,112.7,6.4,116.5,110.6,124,88,95.1,4.5,99.0,93.7,103,88
2022 Wimbledon R64,W vs Shapovalov,108.5,113.5,5.6,117.1,110.1,125,102,100.2,3.6,101.7,100.7,107,89
2021 US Open R64,L vs Molcan,106.6,115.2,7.3,120.4,110.5,129,100,95.3,5.2,97.5,93.2,109,83
2021 US Open R128,W vs Isner,108.2,114.4,7.5,120.8,112.9,127,92,98.3,5.3,98.5,93.5,106,84
2020 US Open R64,L vs Zverev,106.2,113.0,6.5,118.4,109.2,125,91,96.0,7.7,100.9,91.0,112,76
Career (15 matches),,108.3,115.3,7.0,120.2,110.6,132,88,95.6,6.0,98.8,94.2,112,71
