Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,184,102,82,55.4%,238-204,53.8%,2297-2166,51.5%,58-51,53.2%,184,86.1%,16.8%,11.2%,1.8%,64.8%,75.6%,53.7%,67.9%,34.5%,51.0%,1.08
Clay,37,17,20,45.9%,42-46,47.7%,446-456,49.4%,10-11,47.6%,35,78.3%,20.3%,7.8%,2.2%,64.1%,70.1%,50.9%,63.2%,37.4%,50.2%,1.02
Grass,35,20,15,57.1%,57-44,56.4%,559-503,52.6%,15-15,50.0%,34,89.4%,15.7%,9.5%,1.7%,66.9%,76.1%,55.6%,69.3%,33.7%,51.2%,1.10
Grand Slams,37,18,19,48.6%,77-67,53.5%,759-701,52.0%,16-23,41.0%,37,86.8%,17.1%,9.2%,2.4%,65.6%,74.7%,54.4%,67.7%,35.2%,51.3%,1.09
Masters,55,22,33,40.0%,53-71,42.7%,611-642,48.8%,12-13,48.0%,54,83.7%,13.3%,9.6%,1.6%,64.2%,74.2%,52.9%,66.6%,32.9%,49.7%,0.98
Other Tours,161,96,65,59.6%,201-155,56.5%,1892-1752,51.9%,53-41,56.4%,159,85.5%,18.4%,11.0%,1.7%,65.0%,75.2%,53.4%,67.6%,35.2%,51.2%,1.09
Best of 5,42,23,19,54.8%,85-68,55.6%,794-729,52.1%,16-23,41.0%,42,86.8%,17.6%,9.4%,2.3%,65.7%,75.0%,54.3%,67.9%,35.5%,51.5%,1.11
Best of 3,214,116,98,54.2%,252-226,52.7%,2508-2396,51.1%,67-54,55.4%,211,85.1%,17.0%,10.7%,1.7%,64.8%,74.9%,53.3%,67.3%,34.6%,50.8%,1.06
Finals,5,2,3,40.0%,4-6,40.0%,43-53,44.8%,0-2,0.0%,5,77.6%,14.3%,11.2%,2.0%,59.4%,76.1%,49.6%,65.3%,33.9%,49.1%,0.98
Semi-finals,13,5,8,38.5%,13-16,44.8%,148-150,49.7%,2-5,28.6%,13,84.5%,15.5%,12.4%,1.2%,64.5%,76.0%,49.3%,66.5%,34.2%,50.3%,1.02
Quarter-finals,24,11,13,45.8%,23-30,43.4%,259-280,48.1%,6-4,60.0%,23,80.8%,14.4%,9.6%,2.1%,67.2%,72.0%,49.3%,64.5%,32.0%,48.6%,0.90
vs Righties,217,124,93,57.1%,296-241,55.1%,2830-2627,51.9%,70-64,52.2%,215,85.7%,17.7%,10.6%,1.8%,65.0%,75.2%,53.5%,67.6%,35.1%,51.1%,1.08
vs Lefties,38,14,24,36.8%,39-53,42.4%,459-489,48.4%,12-13,48.0%,37,85.4%,12.8%,9.5%,1.9%,65.6%,73.4%,54.6%,66.9%,32.7%,49.7%,0.99
vs Top 10,21,2,19,9.5%,12-43,21.8%,222-317,41.2%,4-7,36.4%,21,76.8%,6.0%,8.2%,1.6%,65.3%,69.5%,47.5%,61.8%,30.2%,46.2%,0.79
