Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,11,Hard,20,9,11,45.0%,5,2,3,40.0%,2006,2016,R64,14,0.96,2.6%,5.5%,58.2%,60.7%,41.6%,52.7%,45.6%,51.1%,48.7%
Roland Garros,11,Clay,19,8,11,42.1%,0,0,0,-,2006,2017,R32,9,0.94,4.0%,4.5%,61.3%,58.4%,44.1%,52.9%,44.5%,44.0%,44.3%
Wimbledon,12,Grass,18,6,12,33.3%,2,0,2,0.0%,2006,2017,R16,9,0.95,2.1%,3.5%,57.8%,56.9%,49.0%,53.5%,44.4%,49.3%,51.6%
US Open,12,Hard,24,12,12,50.0%,4,4,0,100.0%,2006,2017,R32,16,1.02,4.3%,5.7%,58.8%,64.5%,41.3%,54.9%,46.1%,51.2%,46.4%
Fed Cup,1,,1,0,1,0.0%,0,0,0,-,2010,2010,,0,,,,,,,,,,
Birmingham,9,Grass,21,11,10,52.4%,5,3,2,60.0%,2008,2016,R16,18,0.98,5.5%,4.3%,61.9%,67.8%,43.2%,58.4%,40.9%,59.2%,48.7%
Moscow,9,Hard,14,5,9,35.7%,1,0,1,0.0%,2004,2017,R32,7,0.93,2.2%,9.5%,55.0%,59.2%,43.6%,52.2%,44.6%,45.9%,45.5%
Charleston,9,Clay,13,4,9,30.8%,3,0,3,0.0%,2007,2018,R32,11,0.89,1.8%,3.4%,64.0%,54.1%,49.0%,52.2%,42.6%,45.4%,44.8%
Madrid,8,Clay,12,4,8,33.3%,3,1,2,33.3%,2009,2018,Q2,9,1.02,2.3%,2.9%,67.1%,60.4%,47.7%,56.3%,44.6%,53.3%,47.5%
Miami,8,Hard,11,3,8,27.3%,4,2,2,50.0%,2007,2015,R64,7,0.89,1.5%,6.7%,58.3%,55.6%,41.7%,49.8%,44.8%,41.3%,46.3%
Hobart,7,Hard,20,12,8,60.0%,2,1,1,50.0%,2006,2018,R16,10,1.09,3.0%,4.0%,58.1%,62.2%,50.0%,57.1%,46.7%,50.8%,46.3%
