Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),196,301,184,1592,170,1560,247,1449,146,1515,,,,
2025,205,285,233,1530,215,1500,273,1418,165,1484,,,,
2024,205,278,234,1515,222,1483,250,1438,189,1463,1376,16,,
2023,202,300,205,1534,192,1503,265,1407,,,,,,
2022,207,265,252,1491,225,1467,287,1401,,,,,,
2021,378,112,296,1426,267,1406,295,1364,,,,,,
2020,513,64,,,,,,,,,1129,18,,
2019,547,47,326,1416,291,1401,,,,,1098,18,,
2018,390,39,,,,,,,,,416,53,,
2016,1380,3,,,,,,,,,,,,
