Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2024 Charlottesville CH R32,W vs Nakagawa,24.1%,27.6%,50.0%,31.2%,26.3%,28.9%,64.3%,37.1%,92.3%,44.0%,16.7%,22.2%,27.8%,21.4%,72
2024 Fairfield CH QF,L vs Tomic,15.1%,23.5%,56.7%,21.9%,15.5%,26.2%,56.3%,25.1%,42.4%,51.0%,57.1%,16.1%,19.4%,57.7%,39
2022 Rome GA CH R32,W vs Harris,45.5%,56.8%,63.6%,50.2%,61.1%,77.8%,85.7%,72.8%,66.7%,55.6%,0.0%,37.5%,45.8%,53.3%,37
2022 Davis Cup Qualifiers RR,L vs Van De Zandschulp,11.6%,19.8%,48.6%,17.9%,14.3%,26.5%,52.4%,25.3%,35.0%,55.2%,33.3%,9.1%,12.1%,43.3%,-29
Career (4 matches),,20.2%,28.0%,53.6%,26.6%,21.7%,31.7%,58.1%,32.1%,52.0%,50.9%,35.3%,19.8%,24.5%,45.9%,75
