Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2026,19,13,6,68.4%,28-17,62.2%,236-213,52.6%,3-3,50.0%,19,75.6%,29.7%,3.9%,7.9%,57.9%,70.1%,49.0%,61.2%,40.7%,51.0%,1.05,F (2x)
2025,51,29,22,56.9%,68-54,55.7%,600-583,50.7%,10-8,55.6%,51,76.9%,23.9%,4.6%,4.2%,60.1%,68.2%,51.5%,61.6%,38.1%,50.1%,0.99,SF (5x)
2024,52,30,22,57.7%,71-49,59.2%,630-554,53.2%,16-9,64.0%,52,76.8%,28.9%,3.9%,4.5%,58.5%,69.1%,52.0%,62.0%,40.5%,51.3%,1.07,F (Mexico City)
2023,44,24,20,54.5%,55-48,53.4%,519-502,50.8%,11-12,47.8%,44,76.2%,25.4%,4.7%,4.0%,60.3%,69.2%,49.9%,61.5%,39.2%,50.5%,1.02,W (Granby)
2022,48,28,20,58.3%,59-50,54.1%,538-510,51.3%,11-9,55.0%,48,74.0%,28.4%,4.7%,3.9%,55.3%,68.5%,50.9%,60.6%,40.8%,50.7%,1.04,F (Winnipeg)
2021,21,10,11,47.6%,22-23,48.9%,214-209,50.6%,1-3,25.0%,21,73.7%,26.5%,5.0%,5.4%,58.8%,67.9%,50.4%,60.7%,39.4%,50.2%,1.00,QF (2x)
2020,4,1,3,25.0%,4-7,36.4%,41-50,45.1%,0-0,-,4,69.6%,20.0%,3.7%,4.4%,55.6%,64.7%,52.5%,59.3%,35.2%,47.0%,0.86,R16 (Cary)
2019,14,8,6,57.1%,17-16,51.5%,165-153,51.9%,2-4,33.3%,14,80.1%,24.4%,3.8%,4.1%,59.5%,69.1%,54.5%,63.2%,38.4%,50.9%,1.04,QF (Houston)
2018,10,4,6,40.0%,9-14,39.1%,99-113,46.7%,1-3,25.0%,10,67.9%,25.5%,2.9%,5.8%,57.1%,65.1%,47.3%,57.5%,39.6%,48.6%,0.93,QF (Winnipeg)
2017,1,0,1,0.0%,1-2,33.3%,16-18,47.1%,0-0,-,1,70.6%,23.5%,5.1%,5.1%,44.1%,69.2%,53.0%,60.2%,39.3%,49.8%,0.99,R32 (Cary)
Career,264,147,117,55.7%,334-280,54.4%,3058-2905,51.3%,55-51,51.9%,264,75.6%,26.6%,4.4%,4.6%,58.4%,68.6%,51.0%,61.3%,39.6%,50.5%,1.02,
