Match,Result,GP Conv,BP Conv,SP Conv,MP Conv,BP Saved,SP Saved,MP Saved,TB SPW,TB RPW
2017 Waco TX $80K R32,L vs Eikeri,100% (1/1),38% (3/8),0/0,0/0,42% (5/12),2/4,0/1,- (0/0),- (0/0)
2017 Macon GA $80K R32,L vs Voegele,44% (7/16),100% (1/1),0/0,0/0,71% (10/14),0/2,0/1,- (0/0),- (0/0)
2017 Templeton CA $60K QF,L vs Vickery,33% (4/12),50% (3/6),0/0,0/0,58% (7/12),3/5,1/2,- (0/0),- (0/0)
2017 Templeton CA $60K R16,W vs Schmiedlova,44% (7/16),71% (5/7),2/4,1/3,67% (4/6),0/0,0/0,- (0/0),- (0/0)
2017 Albuquerque NM $80K R16,L vs Marand,58% (7/12),36% (4/11),1/2,0/0,0% (0/6),2/4,2/3,- (0/0),- (0/0)
2017 Quebec City R16,L vs Van Uytvanck,70% (7/10),30% (3/10),0/1,0/0,60% (6/10),0/2,0/1,60% (3/5),17% (1/6)
2017 Quebec City R32,W vs Kudryavtseva,70% (7/10),45% (5/11),2/2,1/1,67% (4/6),0/0,0/0,- (0/0),- (0/0)
2017 US Open Q1,L vs Stollar,83% (5/6),50% (1/2),0/0,0/0,60% (6/10),1/3,0/1,- (0/0),- (0/0)
2017 Stanford Q2,W vs Gordon,65% (11/17),29% (4/14),2/3,1/2,60% (6/10),0/1,0/0,67% (4/6),50% (3/6)
2017 Stanford Q1,W vs Kops Jones,78% (7/9),71% (5/7),2/2,1/1,80% (4/5),0/0,0/0,- (0/0),- (0/0)
2017 Wimbledon R128,L vs Halep,100% (4/4),25% (1/4),0/0,0/0,55% (6/11),3/5,1/2,- (0/0),- (0/0)
2017 Wimbledon Q3,W vs Aiava,75% (9/12),100% (3/3),2/3,1/1,100% (3/3),0/0,0/0,- (0/0),- (0/0)
2017 Wimbledon Q2,W vs Peterson,91% (10/11),43% (3/7),2/2,1/1,100% (6/6),0/0,0/0,- (0/0),- (0/0)
2017 Wimbledon Q1,W vs Sadikovic,58% (11/19),45% (5/11),2/6,1/1,81% (13/16),0/1,0/0,- (0/0),- (0/0)
2017 Ilkley $100K QF,W vs Zanevska,62% (13/21),40% (4/10),2/2,1/1,79% (11/14),2/3,0/0,- (0/0),- (0/0)
2017 Ilkley $100K R16,W vs Allertova,80% (8/10),57% (4/7),2/4,1/1,80% (4/5),0/0,0/0,- (0/0),- (0/0)
2017 Ilkley $100K R32,W vs Zhu,80% (8/10),67% (4/6),2/3,1/1,71% (5/7),0/0,0/0,80% (4/5),60% (3/5)
2017 Manchester $100K R32,L vs Krunic,77% (10/13),22% (2/9),1/4,0/0,38% (3/8),0/2,0/1,- (0/0),- (0/0)
2017 Surbiton $100K R16,L vs Rodina,57% (4/7),40% (2/5),0/0,0/0,17% (1/6),2/4,2/3,- (0/0),- (0/0)
2017 Surbiton $100K R32,W vs Robson,82% (14/17),36% (4/11),2/5,1/2,75% (3/4),2/3,0/0,67% (4/6),17% (1/6)
2017 (33 matches),,63.5%,44.6%,60.7%,75.0%,58.1%,41.4%,40.0%,62.5%,35.1%
2016 (43 matches),,61.9%,47.8%,50.9%,52.0%,57.7%,51.8%,54.1%,61.0%,45.4%
2015 (14 matches),,65.3%,40.2%,66.7%,58.3%,60.4%,41.4%,36.4%,68.6%,45.5%
2014 (25 matches),,60.5%,44.3%,58.7%,54.5%,57.1%,40.8%,40.9%,50.0%,45.0%
2013 (48 matches),,61.0%,46.2%,46.2%,47.3%,52.4%,45.1%,37.1%,58.7%,47.0%
Career (199 matches),,60.9%,44.5%,53.0%,52.6%,56.5%,44.5%,42.2%,61.3%,42.9%
