Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2024,105,591,98,1700,110,1638,177,1536,61,1641,8,5665,,
2023,45,1012,109,1680,95,1652,175,1520,86,1588,,,,
2022,220,252,191,1562,182,1524,259,1435,93,1579,,,,
2021,176,386,143,1623,135,1577,,,101,1570,,,,
2020,239,238,240,1454,232,1419,236,1394,,,40,2244,,
2019,221,221,265,1473,249,1447,296,1388,207,1412,88,934,,
2018,280,138,295,1413,294,1364,249,1423,213,1399,128,596,,
2017,277,185,215,1521,201,1485,,,,,226,287,,
2016,324,147,,,,,,,,,587,89,,
2015,1453,3,,,,,,,,,1339,15,,
