Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1996,,,18,1997,17,1925,11,1996,,,,,,
1995,7,147,5,2157,5,2085,4,2084,5,1980,,,,
1994,7,138,6,2159,5,2075,4,2108,6,1984,,,,
1993,5,146,6,2220,5,2123,5,2187,4,2016,,,,
1992,3,192,5,2299,5,2181,3,2276,4,2106,,,,
1991,3,200,3,2364,3,2243,3,2275,3,2129,,,,
1990,5,137,4,2302,4,2193,4,2196,4,2077,,,,
1989,3,166,3,2314,3,2197,2,2239,4,2053,,,,
1988,4,145,3,2317,3,2196,4,2225,5,2063,,,,
1987,6,113,4,2300,4,2107,4,2189,7,2062,,,,
1986,9,62,7,2105,8,1974,5,2054,8,1930,,,,
1985,12,,10,2093,8,1972,6,2035,19,1799,,,,
1984,74,,78,1719,85,1626,75,1641,,,,,,
