Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,47,33,14,70.2%,71-37,65.7%,567-438,56.4%,7-3,70.0%,47,75.3%,36.8%,7.4%,3.1%,58.4%,69.5%,50.3%,61.5%,44.4%,53.0%,1.15
Clay,5,3,2,60.0%,7-4,63.6%,58-45,56.3%,0-1,0.0%,5,76.9%,36.0%,4.3%,2.0%,61.8%,70.4%,53.9%,64.1%,44.5%,54.0%,1.24
Grass,1,0,1,0.0%,1-2,33.3%,10-18,35.7%,1-0,100.0%,1,69.2%,0.0%,3.8%,7.7%,61.5%,75.0%,43.3%,62.8%,33.3%,46.3%,0.90
Grand Slams,5,2,3,40.0%,7-7,50.0%,66-71,48.2%,2-1,66.7%,5,71.2%,25.0%,4.2%,3.8%,58.7%,68.4%,47.7%,59.9%,39.4%,49.4%,0.98
Premiers,5,3,2,60.0%,6-4,60.0%,48-40,54.5%,1-0,100.0%,5,72.7%,34.9%,9.5%,3.1%,56.5%,69.3%,46.1%,59.2%,44.1%,52.1%,1.08
Internationals,21,18,3,85.7%,37-9,80.4%,253-147,63.2%,0-0,-,21,78.9%,46.9%,7.2%,2.9%,57.8%,72.6%,51.8%,63.9%,49.5%,56.5%,1.37
Finals,2,2,0,100.0%,4-0,100.0%,24-8,75.0%,0-0,-,2,93.8%,56.3%,7.3%,2.1%,47.9%,78.3%,62.0%,69.8%,52.6%,60.4%,1.74
Semi-finals,4,2,2,50.0%,5-4,55.6%,43-35,55.1%,0-0,-,4,67.5%,42.1%,6.8%,2.6%,57.9%,65.4%,48.5%,58.3%,47.6%,52.8%,1.14
Quarter-finals,5,4,1,80.0%,8-3,72.7%,59-41,59.0%,0-0,-,5,84.3%,32.7%,5.3%,2.8%,56.3%,74.4%,52.9%,65.0%,44.8%,54.4%,1.28
vs Righties,45,33,12,73.3%,72-33,68.6%,555-423,56.7%,7-4,63.6%,45,76.2%,36.6%,7.3%,3.1%,59.0%,70.0%,50.8%,62.2%,44.4%,53.2%,1.17
vs Lefties,8,3,5,37.5%,7-10,41.2%,80-78,50.6%,1-0,100.0%,8,69.6%,30.8%,5.9%,3.5%,56.8%,67.9%,47.9%,59.2%,42.4%,50.7%,1.04
vs Top 10,4,0,4,0.0%,1-8,11.1%,30-51,37.0%,0-0,-,4,47.6%,25.6%,2.4%,1.7%,60.3%,52.0%,44.3%,49.0%,39.6%,44.8%,0.78
