Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2026 Dubai R32,W vs Noskova,38.8%,53.1%,62.1%,53.6%,75.0%,76.9%,40.0%,53.8%,-,20.0%,25.0%,50.0%,11.1%,9.1%,0.0%,-46
2026 Cluj Napoca F,W vs Raducanu,35.1%,43.2%,61.9%,45.0%,55.0%,72.7%,0.0%,54.5%,-,28.6%,35.7%,50.0%,50.0%,50.0%,-,109
2026 Brisbane R16,L vs Sabalenka,26.5%,38.2%,34.7%,31.4%,45.7%,37.5%,40.0%,60.0%,33.3%,21.9%,31.3%,32.0%,12.5%,31.3%,40.0%,-67
2025 Osaka R16,W vs Boulter,38.6%,43.2%,44.0%,45.5%,54.5%,33.3%,45.5%,72.7%,-,35.0%,35.0%,53.8%,0.0%,38.5%,0.0%,6
2025 Beijing R128,W vs Dolehide,37.5%,45.0%,47.8%,54.5%,63.6%,50.0%,40.0%,58.3%,-,18.8%,25.0%,46.2%,11.1%,85.7%,0.0%,30
2025 Seoul R16,L vs Swiatek,18.5%,24.6%,30.8%,19.4%,30.6%,31.0%,45.0%,37.5%,37.5%,17.9%,17.9%,30.4%,9.1%,76.5%,80.0%,-62
2025 Cleveland F,W vs Li,27.1%,30.5%,58.1%,29.6%,33.3%,63.2%,60.0%,58.8%,50.0%,25.0%,28.1%,54.2%,13.3%,58.8%,-,-104
2025 Linz R16,L vs Tauson,21.3%,39.3%,39.5%,30.3%,54.5%,43.5%,52.9%,31.3%,33.3%,13.0%,26.1%,35.0%,30.0%,38.5%,66.7%,5
2024 Rome R16,L vs Keys,20.0%,28.9%,30.3%,28.6%,35.7%,30.0%,44.4%,50.0%,0.0%,7.1%,21.4%,30.8%,0.0%,90.0%,100.0%,-51
2024 Madrid R32,L vs Swiatek,7.5%,17.0%,38.3%,11.5%,23.1%,43.5%,40.0%,72.7%,75.0%,4.0%,12.0%,33.3%,0.0%,81.3%,100.0%,-76
2024 Stuttgart R32,L vs Zheng,22.6%,32.1%,30.8%,25.7%,40.0%,46.2%,45.0%,66.7%,80.0%,18.8%,18.8%,0.0%,66.7%,60.0%,0.0%,30
2024 Miami R16,L vs Collins,23.6%,32.7%,40.0%,23.8%,35.7%,43.8%,60.0%,45.5%,80.0%,27.3%,27.3%,25.0%,25.0%,14.3%,-,82
2024 Dubai SF,L vs Paolini,15.6%,27.1%,41.3%,17.2%,32.8%,45.3%,63.0%,73.0%,66.7%,12.9%,16.1%,33.3%,23.1%,44.4%,50.0%,-66
2024 Dubai QF,W vs Vondrousova,24.3%,30.6%,42.2%,31.8%,39.4%,48.9%,58.1%,60.0%,66.7%,13.6%,18.2%,34.2%,57.9%,12.0%,0.0%,-77
2024 Doha R32,L vs Swiatek,18.0%,26.0%,29.3%,27.6%,37.9%,23.8%,53.3%,71.4%,66.7%,4.8%,9.5%,35.0%,30.0%,36.4%,20.0%,-104
2023 US Open QF,L vs Muchova,14.5%,25.5%,30.4%,15.2%,30.3%,28.6%,64.3%,57.9%,50.0%,14.3%,19.0%,33.3%,41.7%,88.9%,-,-49
2023 US Open R16,W vs Bencic,35.7%,44.6%,34.3%,39.3%,50.0%,41.2%,66.7%,31.3%,0.0%,33.3%,40.7%,27.8%,30.8%,42.9%,0.0%,-61
2023 US Open R32,W vs Rybakina,20.4%,31.0%,51.7%,25.4%,39.4%,54.7%,78.1%,53.8%,71.4%,12.8%,17.9%,47.1%,44.4%,47.6%,50.0%,-18
2023 Roland Garros R128,L vs Paolini,15.0%,25.2%,46.6%,16.4%,31.3%,55.4%,54.3%,31.3%,50.0%,13.5%,16.2%,31.3%,7.1%,52.2%,50.0%,-13
2023 Madrid R64,L vs Sabalenka,24.6%,33.3%,35.7%,31.3%,37.5%,31.8%,68.8%,62.5%,25.0%,16.7%,29.2%,40.0%,9.1%,69.2%,-,-56
Last 52 Weeks (7 matches),,30.4%,38.4%,45.9%,37.9%,49.5%,48.3%,40.0%,56.0%,37.5%,23.5%,27.8%,43.5%,13.7%,49.4%,40.0%,-34
Career (74 matches),,22.4%,31.1%,43.8%,26.8%,38.1%,48.1%,44.6%,44.6%,45.7%,17.0%,22.2%,37.4%,26.7%,40.7%,41.0%,-10
