Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2015 ITF Stockton R16,W vs Ahn,19.2%,23.1%,43.6%,13.5%,18.9%,43.8%,40.0%,41.2%,33.3%,41.7%,41.7%,42.9%,20.0%,28.6%,0.0%,-11
2014 Australian Open R128,L vs Bencic,9.5%,10.5%,39.0%,9.0%,9.0%,41.0%,32.3%,33.3%,25.0%,12.5%,16.7%,33.3%,18.8%,50.0%,50.0%,5
2013 Australian Open R128,W vs Petrova,21.6%,21.6%,55.3%,15.8%,15.8%,62.5%,23.5%,33.3%,20.0%,45.5%,45.5%,16.7%,25.0%,42.9%,-,82
2011 Wimbledon R64,L vs Williams,17.6%,28.9%,45.6%,15.7%,29.6%,42.9%,32.0%,24.1%,23.1%,25.8%,29.0%,56.5%,15.4%,11.1%,0.0%,3
1995 Roland Garros SF,L vs Sanchez Vicario,3.2%,6.5%,43.6%,5.6%,11.1%,44.1%,63.2%,11.8%,-,0.0%,0.0%,42.9%,66.7%,0.0%,0.0%,-119
1995 Key Biscayne F,L vs Graf,9.6%,17.3%,41.9%,6.9%,17.2%,44.4%,27.3%,66.7%,75.0%,15.8%,21.1%,37.5%,0.0%,75.0%,100.0%,31
1995 Tokyo F,W vs Davenport,20.4%,25.9%,55.0%,19.4%,22.2%,65.5%,38.9%,22.2%,0.0%,26.7%,40.0%,27.3%,33.3%,11.1%,0.0%,97
1994 Australian Open SF,L vs Graf,13.5%,30.8%,46.5%,11.1%,30.6%,46.9%,37.5%,40.0%,0.0%,21.4%,35.7%,45.5%,0.0%,71.4%,100.0%,47
1994 Sydney F,W vs Fernandez,13.8%,19.0%,53.1%,11.1%,19.4%,53.1%,36.8%,23.5%,0.0%,19.0%,19.0%,52.9%,0.0%,30.8%,25.0%,-49
Career (9 matches),,14.2%,20.7%,46.1%,12.5%,20.3%,47.6%,36.3%,31.5%,25.0%,20.8%,25.0%,42.1%,19.0%,30.3%,25.0%,52
