Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2015,182,285,112,1657,101,1632,121,1553,101,1547,98,746,,
2014,90,621,79,1746,75,1699,96,1625,62,1625,34,2185,,
2013,75,806,78,1725,69,1690,94,1619,73,1595,42,2125,,
2012,99,685,87,1733,77,1698,94,1625,73,1600,81,1023,,
2011,87,755,69,1774,62,1729,94,1644,63,1633,55,1520,,
2010,51,1180,35,1885,35,1830,54,1731,42,1690,146,511,,
2009,69,915,71,1765,74,1698,90,1636,58,1644,,,,
2008,189,158,127,1645,126,1593,,,76,1591,,,,
1996,,,10,2054,10,2047,14,1962,10,1884,,,,
1995,4,165,8,2140,7,2067,8,2015,9,1884,,,,
1994,9,124,13,2065,6,2049,27,1860,22,1789,,,,
1993,13,89,17,2027,14,1982,23,1873,21,1790,,,,
1992,21,49,22,1995,16,1929,28,1867,25,1777,,,,
1991,32,29,33,1862,30,1785,44,1750,28,1714,,,,
1990,79,14,,,,,,,,,,,,
1989,119,9,54,1784,62,1678,53,1724,31,1711,,,,
1988,328,,,,,,,,,,,,,
