Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2015 ITF Stockton R16,W vs Ahn,3.9,4.9,2.9,62.9%,51.9%,81.8%,25.0%,44.9%,9.8%,2.0,2.6,3.0,3.3
2014 Australian Open R128,L vs Bencic,4.7,5.7,3.6,45.5%,47.7%,64.7%,45.5%,51.4%,16.1%,2.0,1.1,5.0,3.3
2013 Australian Open R128,W vs Petrova,4.1,4.5,3.6,56.9%,69.2%,75.0%,50.0%,52.3%,15.7%,20.5,23.3,2.5,3.6
2011 Wimbledon R64,L vs Williams,4.0,4.1,3.8,41.3%,59.7%,48.4%,61.1%,45.1%,10.9%,10.0,6.4,-1.0,-0.5
1995 Roland Garros SF,L vs Sanchez Vicario,6.6,7.7,5.5,34.9%,36.7%,55.6%,48.1%,38.9%,4.4%,1.0,0.7,-1.0,-0.5
1995 Key Biscayne F,L vs Graf,4.7,4.7,4.7,38.6%,40.0%,69.2%,42.9%,49.2%,3.3%,-4.0,-3.5,2.0,1.7
1995 Tokyo F,W vs Davenport,3.3,3.5,3.0,58.1%,80.0%,62.5%,40.0%,49.2%,1.6%,13.0,22.4,3.5,5.8
1994 Australian Open SF,L vs Graf,3.7,3.8,3.6,43.5%,41.2%,40.0%,28.6%,53.8%,6.8%,3.0,3.9,-5.5,-8.0
1994 Sydney F,W vs Fernandez,4.9,5.4,4.4,53.1%,61.1%,55.6%,61.5%,49.4%,0.0%,6.0,5.3,10.0,8.6
Career (9 matches),,4.4,4.9,3.9,47.5%,53.0%,60.3%,47.5%,47.3%,8.1%,5.9,5.3,2.1,1.7
