Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2015 Australian Open R128,L vs Tatishvili,83.2,86.4,4.9,,,95,73,75.9,5.0,,,83,63
2014 US Open R128,L vs Williams,82.2,87.6,3.9,,,94,76,72.9,4.4,,,81,63
2014 Roland Garros R128,L vs Pavlyuchenkova,82.6,85.2,3.5,,,93,77,76.0,5.9,,,86,67
2013 US Open R128,L vs Ormaechea,84.0,,,,,96,,,,,,,64
2013 Wimbledon R32,L vs Williams,86.3,,,,,96,,,,,,,78
2013 Wimbledon R64,W vs Cadantu,84.0,,,,,94,,,,,,,74
2013 Roland Garros R128,L vs Stosur,83.7,,,,,91,,,,,,,71
2013 Australian Open R32,L vs Jovanovski,79.2,,,,,92,,,,,,,64
2013 Australian Open R64,W vs Peer,83.2,,,,,97,,,,,,,64
2013 Australian Open R128,W vs Petrova,81.3,,,,,93,,,,,,,67
2012 US Open R128,L vs Arvidsson,87.5,,,,,99,,,,,,,64
2011 US Open R128,L vs Soler Espinosa,83.8,89.3,3.6,,,96,78,76.3,4.7,,,84,62
2011 Wimbledon R64,L vs Williams,87.0,89.1,4.7,,,97,71,80.3,5.2,,,90,65
2011 Roland Garros R128,L vs Wozniacki,86.6,89.6,4.5,,,97,79,79.7,4.3,,,85,70
2011 Australian Open R128,L vs Radwanska,83.6,86.4,6.2,,,97,60,78.6,5.3,,,90,68
Career (15 matches),,84.0,87.7,4.6,,,99,60,77.1,5.0,,,90,62
