Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
1987,5,3,2,60.0%,6-4,60.0%,44-37,54.3%,0-0,-,0,,,,,,,,,,,,R16 (2x)
1986,1,0,1,0.0%,0-2,0.0%,4-12,25.0%,1-0,100.0%,0,,,,,,,,,,,,R128 (Boca Raton)
1985,10,5,5,50.0%,11-9,55.0%,80-90,47.1%,0-2,0.0%,0,,,,,,,,,,,,R16 (2x)
1984,22,12,10,54.5%,25-17,59.5%,186-155,54.5%,0-2,0.0%,0,,,,,,,,,,,,F (2x)
1983,78,56,22,71.8%,111-45,71.2%,800-514,60.9%,4-6,40.0%,0,,,,,,,,,,,,W (Marco Island)
1982,97,73,24,75.3%,141-52,73.1%,972-601,61.8%,7-2,77.8%,0,,,,,,,,,,,,W (2x)
1981,89,69,20,77.5%,137-52,72.5%,988-611,61.8%,6-6,50.0%,0,,,,,,,,,,,,W (4x)
1980,85,66,19,77.6%,131-47,73.6%,910-562,61.8%,6-1,85.7%,0,,,,,,,,,,,,W (3x)
1979,4,2,2,50.0%,4-3,57.1%,32-25,56.1%,0-1,0.0%,0,,,,,,,,,,,,W (Johannesburg Eagle)
Career,391,286,105,73.1%,566-231,71.0%,4016-2607,60.6%,24-20,54.5%,0,,,,,,,,,,,,
