Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2015 Roland Garros R128,L vs Watson,27,42,0.6,20.5%,31.8%,24,38,0.6,19.8%,31.4%,13.2%,6.6%,0.9,9.8%,10.6%
2014 Roland Garros R128,L vs Pliskova,17,21,0.8,13.1%,16.2%,17,18,0.9,14.3%,15.1%,10.9%,3.4%,1.1,13.1%,12.3%
2013 Wimbledon R64,L vs Radwanska,22,29,0.8,19.0%,25.0%,22,23,1.0,20.2%,21.1%,,,2.0,12.1%,6.0%
2013 Roland Garros R64,L vs Ivanovic,11,18,0.6,12.1%,19.8%,11,15,0.7,12.6%,17.2%,,,1.8,19.8%,11.0%
2013 Roland Garros R128,W vs Scheepers,26,36,0.7,20.3%,28.1%,26,29,0.9,22.4%,25.0%,,,0.4,7.0%,18.0%
2012 US Open R128,L vs Lepchenko,15,42,0.4,8.0%,22.5%,15,38,0.4,8.6%,21.7%,,,0.5,12.8%,26.2%
2012 Wimbledon R128,W vs Tsurenko,12,20,0.6,9.4%,15.7%,12,17,0.7,10.4%,14.8%,,,0.5,12.6%,26.0%
2012 Roland Garros R32,L vs Stephens,10,30,0.3,7.6%,22.7%,10,28,0.4,7.8%,21.9%,,,0.8,19.7%,23.5%
2012 Roland Garros R64,W vs Cetkovska,24,22,1.1,16.6%,15.2%,24,17,1.4,17.5%,12.4%,,,0.8,13.1%,17.2%
2012 Roland Garros R128,W vs Rodionova,19,31,0.6,11.1%,18.1%,19,24,0.8,11.9%,15.1%,,,1.1,19.9%,18.1%
2011 Wimbledon R128,W vs Watson,34,23,1.5,18.5%,12.5%,32,20,1.6,18.4%,11.5%,10.9%,7.5%,1.8,10.9%,6.0%
2011 Roland Garros R128,L vs Goerges,10,27,0.4,8.8%,23.7%,10,18,0.6,10.2%,18.4%,6.1%,4.1%,1.1,23.7%,21.1%
2011 Australian Open R128,L vs Peer,6,23,0.3,7.0%,26.7%,5,18,0.3,6.6%,23.7%,,,1.4,29.1%,20.9%
Career (13 matches),,233,364,0.6,13.4%,20.9%,227,303,0.7,14.1%,18.8%,3.3%,1.8%,0.9,15.0%,16.8%
