Match,Result,RallyLen,RLen-Serve,RLen-Return,1-3 W%,4-6 W%,7-9 W%,10+ W%,FH/GS,BH Slice%,FHP,FHP/100,BHP,BHP/100
2024 Wimbledon R128,W vs Jacquemot,4.3,5.5,3.6,41.9%,69.7%,86.7%,55.6%,52.3%,23.5%,15.0,16.3,9.5,12.5
2024 Rouen F,W vs Linette,5.1,5.0,5.3,55.6%,47.6%,54.5%,60.0%,45.4%,14.9%,9.0,6.3,19.0,11.0
2024 Rouen R32,W vs Stearns,3.7,3.5,3.8,47.5%,63.6%,47.4%,33.3%,47.1%,18.3%,1.5,1.6,8.0,8.4
2024 Dubai R32,L vs Swiatek,4.8,5.2,4.4,43.5%,35.7%,80.0%,47.6%,51.0%,14.9%,3.0,2.2,5.5,4.7
2024 Australian Open R32,L vs Kalinskaya,5.0,4.9,5.1,46.5%,40.9%,46.9%,61.3%,43.1%,12.7%,18.5,9.7,13.0,5.4
2023 Montreal R16,L vs Rybakina,3.8,3.8,3.8,43.9%,37.5%,50.0%,28.6%,50.7%,12.0%,-0.5,-0.7,-1.5,-2.3
2023 Roland Garros R16,L vs Sabalenka,4.2,4.7,3.5,48.2%,40.6%,50.0%,46.2%,41.8%,8.5%,3.0,3.5,-5.0,-3.9
2023 Roland Garros R32,W vs Putintseva,5.7,5.4,6.1,63.5%,50.8%,48.6%,42.9%,40.7%,9.6%,20.0,11.4,2.0,0.8
2023 Roland Garros R64,W vs Gracheva,4.3,3.8,4.8,70.6%,58.8%,30.8%,55.6%,39.9%,19.3%,10.5,15.4,6.0,6.5
2023 Roland Garros R128,W vs Pliskova,5.2,5.0,5.5,58.8%,63.0%,44.4%,63.2%,54.9%,12.6%,13.0,11.2,8.0,8.5
2023 Miami R128,L vs Rogers,3.3,3.6,3.0,45.4%,58.8%,77.8%,28.6%,55.8%,11.9%,5.5,5.7,3.5,4.7
2022 Guadalajara R64,W vs Fruhvirtova,4.0,3.6,4.5,65.0%,71.4%,87.5%,80.0%,47.2%,14.9%,11.5,20.9,7.0,12.3
2022 San Diego R16,L vs Sabalenka,4.1,3.6,4.5,46.8%,51.9%,50.0%,54.5%,55.0%,17.4%,10.0,7.7,8.0,8.2
2022 US Open R64,L vs Swiatek,3.4,3.8,2.9,39.1%,40.0%,50.0%,80.0%,50.4%,7.4%,-5.0,-7.7,-3.0,-5.0
2022 Cincinnati R16,L vs Swiatek,3.9,4.3,3.5,45.9%,32.4%,55.0%,57.1%,56.5%,7.5%,7.0,6.6,-1.0,-1.2
2022 Roland Garros QF,L vs Gauff,6.1,6.2,6.1,31.3%,48.1%,60.0%,48.1%,46.6%,12.6%,4.0,2.7,-0.5,-0.3
2022 Strasbourg R32,L vs Berberovic,4.1,4.2,3.9,51.0%,39.1%,46.2%,60.0%,53.9%,18.3%,-2.0,-1.6,-4.0,-3.8
2022 Indian Wells R128,L vs Osaka,3.8,3.7,4.0,42.6%,51.3%,40.7%,85.7%,53.4%,24.0%,4.0,3.3,-1.5,-1.6
2022 Guadalajara F,W vs Bouzkova,5.2,5.0,5.5,57.8%,42.9%,42.9%,44.4%,57.4%,11.1%,10.5,5.0,-5.0,-3.4
2022 Guadalajara R32,W vs Fruhvirtova,3.9,3.2,4.6,61.4%,76.2%,70.0%,33.3%,45.8%,10.0%,10.0,13.9,0.0,0.0
Career (80 matches),,4.6,4.6,4.6,49.0%,49.5%,50.5%,52.6%,48.1%,10.0%,6.6,5.5,0.8,0.6
