Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2024 US Open R128,L vs Burel,0.94,0.92,70.7,25.3,0.0%,40.0%,0.0%,55.3%,51.1%,52.4%
2024 Wimbledon R64,L vs Shnaider,0.76,0.38,29.0,2.2,0.0%,28.6%,0.0%,47.1%,39.1%,23.8%
2024 Wimbledon R128,W vs Jacquemot,1.05,1.55,50.6,2.2,0.0%,56.5%,0.0%,76.2%,63.2%,37.8%
2024 Rouen F,W vs Linette,1.05,1.27,54.1,2.3,0.0%,69.0%,2.5%,47.5%,57.4%,41.9%
2024 Rouen R32,W vs Stearns,1.14,1.25,54.2,4.0,0.0%,52.9%,0.0%,57.6%,43.9%,55.3%
2024 Dubai R32,L vs Swiatek,0.98,0.80,62.3,2.7,0.0%,46.3%,0.0%,51.3%,31.4%,53.1%
2024 Australian Open R32,L vs Kalinskaya,1.01,0.88,94.9,4.7,3.5%,59.6%,0.0%,56.6%,38.3%,34.5%
2023 US Open R128,L vs Haddad Maia,0.97,0.87,77.3,2.4,0.0%,60.0%,5.9%,47.1%,46.4%,37.0%
2023 Montreal R16,L vs Rybakina,0.86,0.59,42.3,2.0,0.0%,55.6%,0.0%,41.7%,33.3%,36.4%
2023 Wimbledon R64,L vs Vekic,0.92,0.90,74.5,40.6,0.0%,55.2%,2.0%,64.7%,42.1%,36.4%
2023 Wimbledon R128,W vs Peterson,1.16,1.72,40.2,2.1,4.0%,64.0%,5.0%,60.0%,53.8%,58.3%
2023 Roland Garros R16,L vs Sabalenka,0.94,0.74,58.5,2.8,0.0%,59.5%,0.0%,51.3%,28.6%,42.9%
2023 Roland Garros R32,W vs Putintseva,1.11,1.27,57.4,3.0,0.0%,50.9%,0.0%,53.7%,63.4%,46.2%
2023 Roland Garros R64,W vs Gracheva,1.20,2.08,30.4,2.0,0.0%,68.0%,0.0%,69.6%,50.0%,58.6%
2023 Roland Garros R128,W vs Pliskova,1.01,1.44,55.0,2.2,0.0%,58.1%,0.0%,66.7%,64.3%,42.3%
2023 Miami R128,L vs Rogers,0.76,0.70,45.8,2.0,7.1%,76.2%,8.6%,57.1%,32.4%,27.3%
2022 Guadalajara 2 R64,W vs Fruhvirtova,1.39,3.60,25.6,2.0,0.0%,71.4%,10.5%,78.9%,60.0%,71.4%
2022 San Diego R16,L vs Sabalenka,0.81,0.79,55.9,4.7,0.0%,51.4%,0.0%,51.4%,50.0%,45.2%
2022 US Open R64,L vs Swiatek,0.83,0.54,36.9,2.1,3.7%,55.6%,0.0%,50.0%,25.9%,36.4%
2022 US Open R128,W vs Minnen,1.13,1.30,43.9,13.2,4.7%,55.8%,0.0%,61.0%,44.9%,51.2%
2024 (7 matches),,1.00,0.97,64.3,3.2,0.8%,52.1%,0.4%,55.2%,46.7%,43.2%
2023 (9 matches),,0.98,1.03,57.6,2.5,1.1%,59.9%,2.4%,56.3%,45.7%,41.6%
2022 (11 matches),,0.97,0.96,49.8,3.0,1.3%,54.2%,2.0%,57.9%,43.2%,43.5%
2021 (12 matches),,1.05,1.05,66.2,3.2,1.6%,57.9%,3.4%,59.3%,42.1%,40.2%
2020 (3 matches),,1.04,0.96,47.5,2.8,0.0%,55.9%,2.8%,57.8%,39.6%,40.4%
Career (376 matches),,1.03,1.08,58.1,2.8,1.3%,57.4%,2.2%,57.5%,44.1%,45.1%
