Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2024 Wimbledon R128,W vs Jacquemot,70.7%,62.3%,4.0%,1/2,2.57,0.0%,66.0%,64.5%,6.4%,2.60,0.0%,95.7%,59.1%,0.0%,2.40,0.0%
2024 Rouen F,W vs Linette,87.8%,57.0%,6.7%,1/5,2.50,0.0%,84.2%,47.9%,3.5%,2.49,0.0%,93.9%,71.0%,12.1%,2.53,0.0%
2024 Rouen R32,W vs Stearns,79.7%,55.6%,7.6%,5/1,2.58,4.0%,81.6%,62.5%,8.2%,2.51,5.6%,88.5%,43.5%,7.7%,2.78,0.0%
2024 Dubai R32,L vs Swiatek,70.1%,53.2%,7.5%,1/4,2.49,5.7%,64.3%,59.3%,4.8%,2.42,7.7%,90.9%,45.0%,13.6%,2.72,0.0%
2024 Australian Open R32,L vs Kalinskaya,80.5%,44.2%,4.2%,3/2,2.42,6.5%,76.5%,45.2%,0.0%,2.41,8.6%,91.7%,42.4%,13.9%,2.45,0.0%
2023 Montreal R16,L vs Rybakina,67.3%,42.4%,6.1%,1/2,2.30,0.0%,58.3%,50.0%,4.2%,2.47,0.0%,86.4%,36.8%,9.1%,2.03,0.0%
2023 Roland Garros R16,L vs Sabalenka,69.8%,45.5%,9.5%,2/4,2.60,1.5%,64.1%,36.0%,12.8%,2.63,1.9%,86.4%,57.9%,4.5%,2.51,0.0%
2023 Roland Garros R32,W vs Putintseva,90.0%,56.9%,2.5%,1/1,2.51,1.0%,92.3%,47.9%,3.8%,2.51,1.3%,96.0%,75.0%,0.0%,2.50,0.0%
2023 Roland Garros R64,W vs Gracheva,84.7%,60.0%,1.7%,0/1,2.89,0.0%,84.2%,65.6%,0.0%,2.76,0.0%,94.7%,50.0%,5.3%,3.28,0.0%
2023 Roland Garros R128,W vs Pliskova,74.1%,57.5%,7.4%,2/2,2.46,8.0%,83.3%,50.0%,5.6%,2.64,12.9%,83.3%,80.0%,16.7%,2.17,0.0%
2023 Miami R128,L vs Rogers,65.7%,41.3%,11.4%,4/4,2.69,13.2%,68.1%,31.3%,10.6%,2.78,18.4%,66.7%,64.3%,14.3%,2.46,0.0%
2022 Guadalajara R64,W vs Fruhvirtova,76.5%,73.1%,2.9%,0/1,2.50,0.0%,78.9%,73.3%,0.0%,2.48,0.0%,91.7%,72.7%,8.3%,2.57,0.0%
2022 San Diego R16,L vs Sabalenka,76.7%,57.6%,7.0%,5/1,2.58,5.3%,78.6%,47.7%,8.9%,2.60,5.4%,81.5%,77.3%,3.7%,2.53,5.0%
2022 US Open R64,L vs Swiatek,65.3%,40.6%,8.2%,1/3,2.69,5.1%,63.3%,36.8%,3.3%,2.74,7.4%,76.5%,46.2%,17.6%,2.57,0.0%
2022 Cincinnati R16,L vs Swiatek,75.0%,49.0%,11.8%,4/4,2.70,3.8%,71.7%,39.4%,6.5%,2.63,5.1%,94.7%,66.7%,26.3%,2.90,0.0%
2022 Roland Garros QF,L vs Gauff,69.1%,46.8%,1.5%,0/1,2.43,2.0%,73.3%,54.5%,0.0%,2.24,2.7%,82.4%,28.6%,5.9%,2.99,0.0%
2022 Strasbourg R32,L vs Berberovic,83.6%,39.3%,6.8%,2/3,2.46,4.2%,88.5%,30.4%,9.6%,2.49,5.4%,88.2%,66.7%,0.0%,2.34,0.0%
2022 Indian Wells R128,L vs Osaka,70.5%,61.3%,11.4%,6/4,2.51,1.7%,64.4%,51.7%,17.8%,2.53,1.9%,86.8%,69.7%,5.3%,2.34,0.0%
2022 Guadalajara F,W vs Bouzkova,78.7%,42.9%,3.4%,1/2,2.64,2.9%,82.4%,38.1%,5.9%,2.72,3.6%,84.8%,50.0%,0.0%,2.29,0.0%
2022 Guadalajara R32,W vs Fruhvirtova,83.3%,55.0%,0.0%,0/0,2.63,21.2%,88.6%,51.6%,0.0%,2.64,25.9%,90.0%,66.7%,0.0%,2.57,0.0%
Career (80 matches),,75.2%,51.5%,5.4%,52.2%,2.50,3.9%,75.5%,48.4%,4.3%,2.51,5.2%,86.0%,56.8%,8.3%,2.49,0.8%
