Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2024,,,,,,,,,,,10,5010,,
2020,,,,,,,,,,,6,5400,,
2019,,,,,,,,,,,24,3540,15,1851
2018,,,,,,,,,,,21,3150,30,1776
2017,353,128,144,1614,135,1582,151,1538,103,1564,22,3250,30,1769
2016,129,461,140,1620,133,1579,167,1517,86,1594,14,4400,22,1814
2015,89,623,122,1650,127,1582,,,59,1666,36,1988,43,1720
2014,139,381,168,1582,156,1547,,,121,1544,53,1426,49,1699
2013,127,439,209,1527,194,1493,,,140,1500,78,996,70,1647
2012,132,427,161,1589,167,1530,221,1461,113,1559,44,1744,52,1688
2011,149,355,120,1654,143,1559,188,1501,102,1562,45,1560,89,1613
2010,184,285,186,1548,197,1481,270,1398,99,1555,67,1221,82,1610
2009,79,590,149,1608,171,1519,247,1433,53,1647,39,1778,27,1746
2008,190,222,229,1504,194,1480,302,1363,191,1432,68,963,74,1636
2007,253,160,266,1464,228,1448,302,1359,188,1433,65,842,,
2006,197,198,193,1532,168,1507,,,140,1487,122,433,,
2005,195,199,220,1513,194,1482,282,1354,128,1512,113,485,,
2004,297,120,278,1429,249,1406,,,212,1396,133,392,,
2003,437,60,280,1450,254,1414,,,,,448,89,,
2002,536,34,,,,,,,,,541,57,,
2001,1383,1,,,,,,,,,1099,11,,
2000,,,,,,,,,,,1466,1,,
