Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2025 Rio de Janeiro R16,W vs Tona,74.3%,65.4%,4.3%,3/0,2.41,6.1%,77.8%,65.7%,0.0%,2.27,5.3%,85.0%,64.7%,15.0%,2.59,7.1%
2025 Rio de Janeiro R32,W vs Giovannini,77.6%,54.5%,5.9%,2/3,2.60,0.0%,75.0%,54.5%,6.8%,2.77,0.0%,89.2%,54.5%,5.4%,2.21,0.0%
2025 ITF Lisbon F,W vs Semenistaja,83.3%,64.4%,5.6%,2/1,2.23,0.0%,84.2%,56.3%,7.9%,2.29,0.0%,86.7%,84.6%,0.0%,2.12,0.0%
2024 BJK Cup Qualifiers RR,L vs Swiatek,71.7%,42.1%,7.5%,3/1,2.47,2.4%,69.4%,36.0%,0.0%,2.40,4.3%,81.3%,53.8%,25.0%,2.55,0.0%
2023 Roland Garros R64,L vs Cocciaretto,77.6%,55.6%,3.4%,1/1,2.35,0.0%,80.5%,54.5%,4.9%,2.49,0.0%,70.6%,58.3%,0.0%,1.98,0.0%
2023 Roland Garros R128,W vs Mandlik,81.9%,57.1%,1.1%,1/0,2.20,1.7%,82.5%,51.1%,1.8%,2.29,2.6%,96.8%,66.7%,0.0%,2.04,0.0%
2022 ITF Bronx SF,L vs Bjorklund,74.5%,53.7%,10.9%,4/2,2.42,6.1%,75.7%,42.9%,10.8%,2.24,10.5%,72.2%,76.9%,11.1%,2.66,0.0%
2022 ITF Amstelveen F,W vs Navarro,69.2%,55.6%,3.8%,3/0,2.22,0.0%,76.5%,57.7%,2.9%,2.35,0.0%,93.3%,53.6%,6.7%,2.07,0.0%
2022 Australian Open Q1,L vs Ormaechea,79.4%,63.0%,0.0%,0/0,2.24,4.5%,81.8%,63.9%,0.0%,2.30,5.9%,81.8%,61.1%,0.0%,2.03,0.0%
2019 Lausanne R16,L vs Teichmann,63.1%,53.7%,1.5%,1/0,2.50,0.0%,62.2%,50.0%,2.2%,2.52,0.0%,76.5%,61.5%,0.0%,2.45,0.0%
Last 52 Weeks (3 matches),,78.0%,60.7%,5.3%,63.6%,2.43,1.3%,78.7%,59.0%,4.7%,2.50,1.0%,87.5%,63.5%,6.9%,2.28,1.9%
Career (10 matches),,75.4%,56.9%,4.1%,71.4%,2.35,1.8%,76.7%,53.9%,3.6%,2.41,2.5%,85.2%,62.1%,5.8%,2.25,0.6%
