Match,Result,Winners,UFEs,Ratio,Wnr/Pt,UFE/Pt,RallyWinners,RallyUFEs,RallyRatio,Rally Wnr/Pt,Rally UFE/Pt,FH Wnr/Pt,BH Wnr/Pt,vs Ratio,vs Wnr/Pt,vs UFE/Pt
2025 Rio De Janeiro 125 R16,W vs Tona,24,22,1.1,20.2%,18.5%,21,19,1.1,19.4%,17.6%,12.0%,7.4%,0.4,8.4%,22.7%
2025 Rio De Janeiro 125 R32,W vs Giovannini,28,33,0.8,16.6%,19.5%,26,30,0.9,16.3%,18.8%,12.5%,3.8%,0.5,9.5%,18.9%
2025 W100 Lisboa F,W vs Semenistaja,30,24,1.3,26.5%,21.2%,30,23,1.3,27.5%,21.1%,12.8%,14.7%,0.6,9.7%,16.8%
2024 BJK Cup Qualifiers RR,L vs Swiatek,12,22,0.5,11.4%,21.0%,11,20,0.6,11.0%,20.0%,5.0%,6.0%,0.9,13.3%,15.2%
2023 Wimbledon R128,L vs Bouzkova,21,31,0.7,18.9%,27.9%,21,30,0.7,19.8%,28.3%,11.3%,8.5%,1.1,15.3%,14.4%
2023 Roland Garros R64,L vs Cocciaretto,19,30,0.6,16.8%,26.5%,18,24,0.8,17.1%,22.9%,14.3%,2.9%,0.7,10.6%,15.0%
2023 Roland Garros R128,W vs Mandlik,33,47,0.7,18.8%,26.7%,31,43,0.7,19.1%,26.5%,11.7%,7.4%,0.3,5.1%,19.3%
2022 W60 Bronx NY SF,L vs Bjorklund,17,12,1.4,16.3%,11.5%,16,9,1.8,16.2%,9.1%,8.1%,8.1%,3.4,16.3%,4.8%
2022 W60 Amstelveen F,W vs Navarro,32,23,1.4,26.4%,19.0%,32,18,1.8,29.1%,16.4%,12.7%,16.4%,0.9,14.0%,16.5%
2019 Lausanne R16,L vs Teichmann,19,26,0.7,16.0%,21.8%,16,24,0.7,15.1%,22.6%,10.4%,4.7%,1.1,15.1%,14.3%
Career (10 matches),,235,270,0.9,18.8%,21.6%,222,240,0.9,19.1%,20.6%,11.2%,7.8%,0.7,11.3%,16.2%
