Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
7,Greta Arn [HUN],5,2,71.4%,2,1,1,50.0%,2006,2009,0,,,,,,,,,,
6,Alexandra Panova [RUS],4,2,66.7%,1,1,0,100.0%,2008,2014,5,1.15,0.6%,4.2%,70.9%,64.8%,51.5%,61.0%,44.7%,44.4%,36.8%
6,Irina Falconi [USA],3,3,50.0%,1,1,0,100.0%,2007,2012,1,0.70,2.0%,10.0%,52.0%,34.6%,41.7%,38.0%,43.1%,28.6%,28.6%
5,Julia Glushko [ISR],4,1,80.0%,0,0,0,-,2009,2013,0,,,,,,,,,,
5,Sharon Fichman [CAN],3,2,60.0%,1,1,0,100.0%,2007,2013,1,0.89,0.9%,8.0%,62.5%,52.9%,35.7%,46.4%,47.5%,52.6%,50.0%
5,Heidi El Tabakh [CAN],5,0,100.0%,2,2,0,100.0%,2008,2013,0,,,,,,,,,,
5,Tsvetana Pironkova [BUL],0,5,0.0%,1,0,1,0.0%,2007,2012,2,0.68,0.0%,6.3%,73.2%,51.6%,35.3%,47.2%,35.7%,42.9%,27.3%
5,Anna Tatishvili [GEO],5,0,100.0%,1,1,0,100.0%,2006,2012,1,1.19,5.1%,2.0%,67.7%,56.7%,50.0%,54.5%,54.0%,50.0%,88.9%
5,Olga Govortsova [BLR],4,1,80.0%,0,0,0,-,2006,2010,2,1.11,1.9%,3.1%,70.4%,57.9%,60.4%,58.6%,46.0%,75.0%,56.3%
5,Alexa Glatch [USA],1,4,20.0%,0,0,0,-,2004,2010,2,0.69,1.7%,5.0%,62.5%,57.3%,44.4%,52.5%,32.8%,46.7%,66.7%
5,Mashona Washington [USA],5,0,100.0%,0,0,0,-,2007,2009,0,,,,,,,,,,
4,Alexandra Stevenson [USA],4,0,100.0%,2,1,1,50.0%,2006,2013,0,,,,,,,,,,
4,Jelena Pandzic [CRO],3,1,75.0%,0,0,0,-,2007,2012,0,,,,,,,,,,
4,Edina Gallovits Hall [ROU],3,1,75.0%,2,1,1,50.0%,2008,2012,2,1.16,1.9%,3.8%,75.0%,71.8%,26.9%,60.6%,45.6%,14.3%,50.0%
4,Rebecca Marino [CAN],1,3,25.0%,0,0,0,-,2009,2012,1,0.76,3.3%,6.6%,52.5%,56.3%,48.3%,52.5%,36.4%,42.9%,25.0%
