Match,Result,Unret%,<=3 W%,RiP W%,1st: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,D Wide%,A Wide%,BP Wide%,2ndAgg
2015 Singapore RR,W vs Radwanska,26.2%,33.8%,58.7%,31.6%,39.5%,61.5%,26.7%,52.2%,-,20.0%,28.0%,55.0%,23.1%,91.7%,-,-14
2015 Singapore RR,L vs Halep,13.5%,17.3%,44.2%,21.4%,28.6%,36.4%,27.3%,47.1%,33.3%,4.5%,4.5%,52.4%,0.0%,50.0%,0.0%,-71
2015 Moscow R16,W vs Saville,14.9%,28.4%,57.4%,13.9%,33.3%,58.1%,57.9%,58.8%,42.9%,17.9%,25.0%,56.5%,10.0%,66.7%,100.0%,13
2015 Beijing R32,W vs Pereira,28.2%,35.3%,42.1%,37.5%,50.0%,56.0%,76.2%,31.6%,33.3%,22.0%,24.4%,31.3%,15.0%,38.1%,33.3%,3
2015 US Open F,W vs Vinci,18.7%,25.3%,55.0%,18.8%,27.1%,61.5%,42.1%,44.8%,50.0%,19.2%,23.1%,42.9%,27.3%,73.3%,100.0%,-59
2015 US Open SF,W vs Halep,27.1%,31.3%,50.0%,28.1%,31.3%,43.5%,31.3%,62.5%,100.0%,26.7%,33.3%,63.6%,16.7%,22.2%,-,-28
2015 US Open QF,W vs Kvitova,24.4%,33.3%,48.4%,24.5%,37.7%,45.0%,51.7%,29.2%,0.0%,27.3%,30.3%,54.2%,54.5%,9.1%,0.0%,-3
2015 Eastbourne R32,L vs Kuznetsova,26.6%,35.9%,48.8%,36.4%,51.5%,47.6%,56.3%,29.4%,0.0%,20.0%,24.0%,50.0%,44.4%,56.3%,0.0%,67
2015 Roland Garros R16,L vs Muguruza,17.9%,23.2%,46.5%,15.8%,23.7%,56.3%,26.7%,43.5%,66.7%,26.7%,26.7%,18.2%,0.0%,40.0%,100.0%,97
2015 Rome R64,L vs Svitolina,11.3%,19.4%,43.4%,5.4%,18.9%,54.3%,29.4%,55.0%,60.0%,21.7%,21.7%,22.2%,0.0%,18.2%,50.0%,-7
2015 Marrakech R16,W vs Siegemund,16.9%,26.6%,47.8%,22.4%,31.3%,46.2%,45.5%,38.2%,50.0%,13.6%,27.3%,50.0%,26.3%,16.0%,16.7%,17
2015 Miami R16,L vs Halep,11.9%,14.9%,43.9%,12.2%,14.6%,52.8%,33.3%,30.4%,20.0%,12.5%,16.7%,28.6%,0.0%,50.0%,66.7%,-11
2015 Indian Wells R64,W vs Brengle,17.6%,29.4%,70.7%,20.0%,37.1%,78.6%,70.6%,38.9%,-,13.3%,13.3%,53.8%,0.0%,10.0%,-,-28
2015 Doha R32,W vs Kuznetsova,22.5%,32.6%,50.8%,25.0%,39.6%,61.1%,50.0%,57.7%,50.0%,21.6%,27.0%,37.9%,27.8%,36.8%,0.0%,14
2014 Sofia F,L vs Petkovic,15.4%,24.2%,50.0%,14.6%,31.3%,63.4%,47.8%,32.0%,50.0%,17.5%,17.5%,33.3%,10.0%,25.0%,100.0%,-20
2014 Sofia SF,W vs Suarez Navarro,14.1%,28.2%,53.4%,18.4%,42.1%,67.7%,68.4%,21.1%,50.0%,10.0%,13.3%,37.0%,0.0%,5.0%,0.0%,-28
2014 Sofia RR,L vs Muguruza,18.6%,25.6%,38.8%,28.8%,40.4%,43.2%,34.8%,55.2%,62.5%,3.2%,3.2%,33.3%,17.6%,21.4%,66.7%,-85
2014 US Open QF,L vs Williams,30.4%,30.4%,21.1%,42.4%,42.4%,10.5%,31.3%,41.2%,37.5%,13.6%,13.6%,31.6%,0.0%,0.0%,0.0%,-51
2014 Indian Wells F,W vs Radwanska,27.8%,37.0%,48.7%,37.9%,51.7%,61.1%,56.3%,53.8%,100.0%,16.0%,20.0%,38.1%,33.3%,6.3%,0.0%,-104
2014 Australian Open R32,W vs Barthel,26.9%,34.6%,52.9%,40.0%,56.0%,60.0%,54.5%,7.1%,100.0%,17.4%,17.4%,47.4%,15.4%,10.0%,0.0%,52
Career (26 matches),,19.4%,27.3%,47.8%,23.9%,36.2%,53.5%,44.8%,41.4%,43.3%,15.4%,18.4%,41.0%,15.1%,31.3%,42.1%,-3
