Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2026 United Cup RR,L vs Swiatek,72.4%,61.9%,10.3%,8/1,2.15,0.0%,73.2%,63.4%,10.7%,2.13,0.0%,75.9%,59.1%,10.3%,2.21,0.0%
2025 Hong Kong R16,L vs Fernandez,60.4%,41.4%,20.8%,4/6,2.40,2.3%,53.1%,41.2%,28.1%,2.36,2.8%,85.7%,41.7%,7.1%,2.59,0.0%
2025 Tokyo R16,L vs Mboko,44.7%,35.3%,15.8%,3/3,2.42,13.6%,40.0%,33.3%,10.0%,2.46,18.2%,83.3%,40.0%,50.0%,2.31,0.0%
2025 Tokyo R32,W vs Boulter,46.3%,57.9%,12.2%,2/3,2.24,9.3%,73.3%,45.5%,26.7%,2.16,6.9%,88.9%,75.0%,11.1%,2.41,14.3%
2025 Beijing QF,L vs Gauff,64.1%,53.7%,1.6%,1/0,1.95,1.9%,70.0%,54.3%,0.0%,1.94,2.6%,60.0%,50.0%,10.0%,1.96,0.0%
2025 Beijing R32,W vs Rybakina,63.5%,69.7%,3.8%,1/3,2.58,0.0%,60.9%,71.4%,4.3%,2.32,0.0%,73.1%,68.4%,3.8%,3.23,0.0%
2025 Beijing R64,W vs Jovic,71.4%,71.7%,4.8%,3/1,2.42,2.1%,70.4%,71.1%,0.0%,2.35,3.2%,73.3%,72.7%,13.3%,2.57,0.0%
2025 Seoul R16,L vs Tauson,67.2%,61.0%,8.2%,5/0,2.58,1.9%,57.9%,59.1%,2.6%,2.67,2.9%,86.4%,63.2%,18.2%,2.42,0.0%
2025 Seoul R32,W vs Krueger,62.3%,63.2%,6.6%,2/2,2.41,4.1%,63.6%,60.7%,4.5%,2.43,6.5%,76.9%,70.0%,15.4%,2.38,0.0%
2025 Cleveland R16,W vs Kudermetova,60.3%,72.7%,11.0%,4/4,2.75,2.4%,70.3%,73.1%,16.2%,2.88,3.1%,72.0%,72.2%,8.0%,2.27,0.0%
2025 Roland Garros R64,L vs Mboko,68.3%,48.8%,5.0%,2/1,2.58,5.6%,68.3%,42.9%,0.0%,2.23,7.7%,86.7%,61.5%,20.0%,3.47,0.0%
2025 Stuttgart R32,L vs Paolini,58.0%,51.7%,4.0%,2/0,2.21,0.0%,62.1%,44.4%,0.0%,2.23,0.0%,61.1%,63.6%,11.1%,2.18,0.0%
2025 Indian Wells R64,L vs Dolehide,58.0%,45.0%,8.7%,5/1,2.65,5.1%,59.2%,41.4%,8.2%,2.58,4.5%,64.7%,54.5%,11.8%,2.84,6.7%
2025 Dubai R32,L vs Paolini,75.0%,47.6%,1.8%,0/1,2.89,11.1%,72.2%,46.2%,0.0%,2.89,17.9%,84.2%,50.0%,5.3%,2.88,0.0%
2025 Australian Open R16,L vs Swiatek,61.5%,29.2%,15.4%,4/2,2.49,0.0%,61.5%,31.3%,7.7%,2.28,0.0%,72.7%,25.0%,36.4%,3.05,0.0%
2025 Australian Open R32,W vs Cristian,76.5%,53.3%,2.0%,1/1,2.61,6.3%,74.5%,54.3%,4.3%,2.42,9.3%,85.1%,52.5%,0.0%,3.02,0.0%
2025 Australian Open R128,W vs Birrell,78.0%,69.2%,10.0%,3/2,2.36,0.0%,88.9%,70.8%,0.0%,1.81,0.0%,78.9%,66.7%,26.3%,2.79,0.0%
2023 US Open Q3,L vs Kessler,84.0%,69.0%,4.0%,2/0,2.28,2.7%,89.7%,69.2%,6.9%,2.30,3.1%,88.9%,68.8%,0.0%,2.14,0.0%
2023 Australian Open R128,L vs Bucsa,76.5%,56.5%,4.9%,3/1,2.07,5.6%,66.0%,57.6%,4.0%,2.07,5.0%,93.5%,55.2%,6.5%,2.08,7.1%
2023 Australian Open Q1,W vs Vicens Mas,78.5%,58.1%,2.5%,2/0,2.67,4.8%,80.4%,60.0%,0.0%,2.81,6.3%,85.0%,52.9%,10.0%,2.21,0.0%
Last 52 Weeks (12 matches),,63.3%,60.5%,7.9%,60.7%,2.38,3.2%,64.4%,58.2%,7.0%,2.33,4.1%,75.7%,64.1%,11.5%,2.51,1.0%
Career (23 matches),,69.4%,57.1%,6.6%,59.8%,2.46,4.8%,69.8%,56.8%,5.4%,2.40,6.2%,80.6%,57.5%,10.1%,2.61,1.4%
