Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
1996,189,100,139,1668,128,1607,,,64,1628,,,,
1995,110,15,91,1766,107,1668,,,46,1682,,,,
1994,63,25,59,1825,72,1713,126,1640,37,1720,,,,
1993,38,39,57,1839,81,1692,,,33,1736,,,,
1992,30,34,32,1914,36,1790,,,19,1815,,,,
1991,37,25,34,1865,53,1732,,,17,1793,,,,
1990,66,17,41,1830,28,1777,,,,,,,,
1989,18,46,13,2025,16,1889,,,7,1942,,,,
1988,5,120,5,2266,5,2088,,,3,2136,,,,
1987,4,137,5,2275,5,2104,,,3,2131,,,,
1986,5,105,6,2191,6,2033,,,5,2050,,,,
1985,4,,4,2180,4,2043,11,1956,4,2050,,,,
1984,4,,5,2123,4,1995,,,6,1992,,,,
1983,,,4,2192,3,2049,8,1977,4,2034,,,,
1982,,,5,2088,6,1943,7,1950,5,1952,,,,
1981,,,6,2139,6,1944,7,1977,4,2022,,,,
1980,,,8,2071,8,1891,11,1852,7,1940,,,,
1979,,,31,1797,34,1657,41,1673,20,1728,,,,
1978,,,31,1822,10,1771,49,1654,25,1708,,,,
