Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2015,153,375,92,1711,82,1669,84,1675,74,1623,278,250,,
2014,73,693,63,1768,65,1713,57,1724,66,1630,83,870,60,1676
2013,39,1090,44,1823,40,1780,43,1768,79,1620,100,780,75,1633
2012,41,927,55,1783,50,1747,50,1745,85,1607,165,400,105,1552
2011,77,666,43,1843,40,1791,39,1797,61,1643,154,495,104,1582
2010,39,1062,36,1858,30,1811,44,1785,40,1702,48,1510,59,1659
2009,88,568,63,1762,64,1697,50,1750,,,128,527,81,1613
2008,37,895,58,1785,50,1735,43,1763,50,1674,80,846,82,1612
2007,27,995,33,1861,30,1807,33,1803,27,1748,46,1130,66,1609
2006,15,1460,22,1894,21,1842,18,1858,27,1738,56,865,69,1612
2005,28,1045,35,1844,30,1803,25,1826,64,1636,204,250,90,1548
2004,77,519,88,1721,86,1656,43,1768,,,119,445,83,1562
2003,36,980,56,1798,53,1745,28,1823,66,1617,60,850,77,1580
2002,40,875,46,1833,52,1759,26,1844,88,1592,187,240,,
2001,61,603,52,1829,40,1794,52,1761,,,356,119,,
2000,308,99,192,1565,241,1445,180,1524,,,390,102,,
1999,587,33,,,,,,,,,662,44,,
1998,1324,1,,,,,,,,,1384,1,,
1997,1209,,,,,,,,,,,,,
