Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2014 Madrid R16,L vs Nadal,15.4%,26.9%,38.6%,25.8%,19.0%,33.3%,44.1%,31.9%,30.0%,45.5%,40.0%,0.0%,0.0%,20.0%,-118
2014 Brisbane R16,L vs Federer,22.6%,27.4%,46.5%,25.3%,28.6%,31.4%,44.0%,33.4%,8.3%,47.8%,50.0%,18.2%,27.3%,50.0%,45
2013 Dusseldorf SF,W vs Sijsling,20.8%,24.0%,47.8%,23.8%,26.3%,29.8%,52.4%,31.2%,16.7%,25.6%,66.7%,15.6%,18.8%,40.7%,39
2013 Brisbane R16,L vs Dolgopolov,11.6%,16.3%,37.8%,16.7%,10.7%,17.9%,36.0%,18.6%,28.6%,50.0%,75.0%,14.3%,14.3%,41.7%,22
2012 Olympics R32,L vs Murray,25.0%,30.4%,45.0%,29.8%,27.3%,36.4%,50.0%,35.5%,40.0%,50.0%,0.0%,23.8%,23.8%,37.5%,53
2011 Doha R16,L vs Davydenko,34.9%,39.7%,30.8%,36.7%,54.1%,56.8%,29.4%,57.0%,25.0%,57.1%,40.0%,8.3%,16.7%,31.8%,-33
2008 Australian Open QF,L vs Nadal,18.7%,25.3%,45.8%,25.9%,22.4%,31.3%,53.8%,32.2%,36.4%,73.5%,83.3%,9.1%,9.1%,25.0%,-26
2007 Basel F,L vs Federer,30.0%,34.0%,54.5%,36.8%,28.9%,34.2%,59.3%,37.9%,8.3%,57.7%,66.7%,40.0%,40.0%,33.3%,59
2005 US Open QF,L vs Hewitt,24.3%,28.7%,45.9%,30.0%,21.7%,28.9%,49.2%,31.1%,33.3%,68.3%,90.0%,31.3%,31.3%,39.4%,-48
2003 Munich F,L vs Federer,19.6%,23.9%,33.3%,27.0%,22.9%,28.6%,33.3%,32.6%,44.4%,41.2%,80.0%,10.0%,10.0%,33.3%,-79
Career (10 matches),,22.6%,27.8%,43.4%,27.9%,25.7%,32.5%,47.0%,33.9%,29.5%,52.5%,65.2%,18.8%,21.1%,36.4%,33
