Match,Result,RiP%,RiP W%,RetWnr%,FH/BH,RDI,Slice%,1st: RiP%,RiP W%,RetWnr%,RDI,Slice%,2nd: RiP%,RiP W%,RetWnr%,RDI,Slice%
2014 Madrid R16,L vs Nadal,76.5%,46.2%,9.8%,3/2,2.47,2.3%,71.1%,48.1%,13.2%,2.32,2.9%,92.3%,41.7%,0.0%,2.95,0.0%
2014 Brisbane R16,L vs Federer,58.9%,45.5%,5.4%,2/1,-,37.2%,51.5%,41.2%,3.0%,-,32.0%,72.7%,50.0%,9.1%,-,44.4%
2013 Dusseldorf SF,W vs Sijsling,81.4%,45.7%,7.0%,5/1,2.32,14.7%,75.6%,38.7%,4.9%,2.17,19.5%,95.1%,51.3%,9.8%,2.54,7.4%
2013 Brisbane R16,L vs Dolgopolov,55.6%,45.0%,5.6%,0/2,2.65,37.8%,54.5%,41.7%,9.1%,2.66,48.0%,57.1%,50.0%,0.0%,2.63,16.7%
2012 Olympics R32,L vs Murray,59.6%,35.7%,8.5%,0/4,2.16,20.0%,61.3%,36.8%,6.5%,1.79,33.3%,56.3%,33.3%,12.5%,2.66,0.0%
2011 Doha R16,L vs Davydenko,76.3%,43.1%,1.3%,1/0,2.30,2.6%,76.1%,37.1%,2.2%,2.70,5.9%,92.0%,52.2%,0.0%,2.02,0.0%
2008 Australian Open QF,L vs Nadal,73.9%,38.2%,5.4%,5/0,2.28,16.7%,79.7%,31.9%,1.7%,2.31,23.1%,77.8%,52.4%,14.8%,2.18,0.0%
2007 Basel F,L vs Federer,67.9%,39.5%,1.8%,0/1,2.18,54.5%,58.1%,33.3%,3.2%,2.33,55.6%,80.0%,45.0%,0.0%,1.50,50.0%
2005 US Open QF,L vs Hewitt,69.7%,36.8%,9.2%,4/6,2.34,9.2%,60.3%,31.6%,4.8%,2.13,12.3%,92.7%,42.1%,17.1%,2.74,3.0%
2003 Munich F,L vs Federer,74.0%,43.2%,4.0%,2/0,1.76,19.4%,62.1%,38.9%,3.4%,1.76,25.9%,95.0%,47.4%,5.0%,1.78,0.0%
Career (10 matches),,70.9%,41.5%,5.9%,56.4%,2.29,18.8%,66.7%,37.0%,4.8%,2.22,23.7%,84.0%,47.3%,8.2%,2.43,9.2%
