Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-16),336,147,218,1553,203,1519,203,1502,126,1540,,,,
2025,365,133,228,1536,214,1500,211,1494,133,1531,,,,
2024,299,173,137,1647,119,1624,154,1565,100,1571,452,115,,
2023,94,673,90,1704,93,1655,110,1619,46,1660,,,,
2022,118,483,110,1687,96,1648,122,1602,99,1569,,,,
2021,246,253,213,1539,180,1520,261,1419,151,1505,,,,
2020,1168,6,,,,,,,,,1365,11,,
2019,1664,1,,,,,,,,,1704,4,,
