Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
11,Carlos Salamanca [COL],7,4,63.6%,7,4,3,57.1%,2004,2013,3,1.12,2.7%,3.7%,62.2%,74.4%,53.5%,66.5%,37.5%,81.3%,47.1%
10,Marcos Daniel [BRA],2,8,20.0%,7,2,5,28.6%,2005,2010,1,2.38,15.0%,0.0%,60.0%,87.5%,68.8%,80.0%,47.7%,0,44.4%
9,Carlos Berlocq [ARG],3,6,33.3%,3,1,2,33.3%,2009,2018,8,0.88,1.5%,1.9%,63.8%,64.0%,45.5%,57.3%,37.6%,52.6%,47.5%
9,Pablo Cuevas [URU],3,6,33.3%,5,3,2,60.0%,2005,2018,4,0.93,5.7%,2.1%,59.7%,64.5%,48.1%,57.9%,39.0%,52.8%,39.3%
9,Thomaz Bellucci [BRA],4,5,44.4%,3,0,3,0.0%,2006,2015,5,0.90,4.7%,2.2%,61.3%,68.7%,43.9%,59.1%,37.0%,61.9%,55.2%
8,Alejandro Falla [COL],3,5,37.5%,1,1,0,100.0%,2009,2016,4,0.97,2.9%,2.9%,53.7%,67.3%,49.5%,59.0%,39.8%,64.6%,43.2%
8,Kei Nishikori [JPN],1,7,12.5%,3,0,3,0.0%,2010,2015,6,0.85,4.2%,3.0%,55.4%,66.8%,49.8%,59.2%,34.7%,63.6%,29.7%
8,Fabio Fognini [ITA],3,5,37.5%,2,1,1,50.0%,2007,2015,6,1.04,2.7%,1.6%,67.0%,67.5%,44.6%,59.9%,41.7%,52.9%,48.5%
8,Daniel Gimeno Traver [ESP],7,1,87.5%,2,0,2,0.0%,2007,2014,7,1.22,3.7%,2.2%,60.0%,72.0%,53.9%,64.8%,42.8%,72.5%,56.9%
6,Marin Cilic [CRO],1,5,16.7%,3,0,3,0.0%,2010,2017,6,0.81,2.7%,2.1%,60.7%,66.4%,50.0%,59.9%,32.6%,29.2%,20.0%
6,Horacio Zeballos [ARG],3,3,50.0%,4,3,1,75.0%,2005,2017,3,1.01,6.8%,0.7%,71.8%,68.7%,62.7%,67.0%,33.2%,60.7%,33.3%
6,Marcel Granollers [ESP],4,2,66.7%,5,4,1,80.0%,2007,2017,5,0.93,4.7%,1.8%,59.1%,69.6%,50.5%,61.8%,35.6%,68.8%,50.0%
6,Ricardo Hocevar [BRA],4,2,66.7%,2,2,0,100.0%,2006,2016,2,1.60,10.0%,2.7%,54.5%,71.7%,66.0%,69.1%,49.6%,66.7%,42.1%
6,Rogerio Dutra Silva [BRA],4,2,66.7%,0,0,0,-,2004,2015,2,1.43,2.8%,3.7%,60.6%,71.2%,48.8%,62.4%,53.8%,42.9%,52.4%
6,Joao Souza [BRA],5,1,83.3%,1,1,0,100.0%,2008,2015,4,1.15,7.7%,0.3%,64.8%,69.9%,63.4%,67.6%,37.3%,64.7%,40.7%
