Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,33,17,16,51.5%,36-39,48.0%,346-353,49.5%,2-3,40.0%,33,65.4%,33.8%,2.4%,4.3%,63.8%,61.3%,46.5%,56.0%,42.9%,49.6%,0.98
Clay,5,2,3,40.0%,4-7,36.4%,46-57,44.7%,0-1,0.0%,2,52.2%,34.8%,1.3%,2.5%,68.2%,52.3%,46.0%,50.3%,44.3%,47.1%,0.89
Grass,2,1,1,50.0%,3-2,60.0%,24-18,57.1%,0-0,-,2,71.4%,42.9%,2.6%,4.3%,68.1%,62.0%,56.8%,60.3%,49.2%,53.6%,1.24
Grand Slams,2,0,2,0.0%,1-4,20.0%,21-27,43.8%,0-0,-,2,70.8%,16.7%,1.7%,3.4%,67.4%,59.3%,50.9%,56.6%,35.1%,46.5%,0.81
Premiers,6,3,3,50.0%,6-7,46.2%,56-63,47.1%,2-0,100.0%,6,61.0%,31.0%,3.3%,4.3%,61.8%,62.3%,42.4%,54.7%,42.1%,48.4%,0.93
Internationals,12,7,5,58.3%,16-11,59.3%,124-116,51.7%,0-0,-,12,59.8%,43.2%,1.3%,5.0%,66.7%,59.5%,41.1%,53.4%,47.4%,50.4%,1.02
Semi-finals,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,1,44.4%,12.5%,0.0%,6.0%,64.0%,50.0%,33.3%,44.0%,36.4%,40.0%,0.65
Quarter-finals,4,1,3,25.0%,3-6,33.3%,31-45,40.8%,0-0,-,4,51.4%,32.4%,0.0%,3.3%,65.0%,51.3%,43.5%,48.6%,43.4%,46.1%,0.84
vs Righties,35,19,16,54.3%,41-40,50.6%,377-374,50.2%,2-4,33.3%,33,64.7%,36.0%,2.4%,4.2%,64.3%,61.1%,46.5%,55.9%,44.0%,49.9%,1.00
vs Lefties,4,1,3,25.0%,2-6,25.0%,32-42,43.2%,0-0,-,4,67.6%,18.9%,1.6%,3.9%,64.0%,58.2%,50.5%,55.4%,39.0%,47.2%,0.87
vs Top 10,2,1,1,50.0%,2-3,40.0%,22-26,45.8%,0-0,-,2,68.2%,31.8%,3.1%,3.9%,60.2%,63.6%,52.9%,59.4%,42.5%,50.2%,1.05
