Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2024 US Open R32,L vs Mertens,94.0,98.9,6.3,103.9,94.7,112,78,72.9,5.8,,,87,64
2024 US Open R64,W vs Joint,92.9,102.7,5.9,107.0,96.5,113,86,75.9,4.1,78.7,83.0,83,69
2024 US Open R128,W vs Siniakova,94.2,99.6,6.6,104.2,96.1,110,84,73.0,2.9,73.0,,78,68
2024 Wimbledon R16,L vs Paolini,95.3,102.3,5.5,106.8,99.2,114,88,77.6,3.5,77.8,79.0,84,72
2024 Wimbledon R64,W vs Wang,93.9,98.4,5.8,105.0,98.2,110,85,74.6,3.7,,,79,67
2024 Wimbledon R128,W vs Trevisan,95.5,102.9,5.3,105.1,99.5,114,89,74.1,5.2,,76.0,83,63
2023 US Open SF,L vs Sabalenka,95.0,103.2,5.6,106.9,99.4,114,89,74.8,5.9,,72.0,91,66
2023 US Open QF,W vs Vondrousova,97.5,105.3,7.1,108.5,95.0,119,87,76.5,3.3,74.3,77.3,83,69
2023 US Open R16,W vs Pegula,95.2,104.4,7.0,109.5,96.2,115,89,73.2,3.2,76.0,,78,68
2023 US Open R32,W vs Samsonova,96.2,103.5,7.1,106.5,101.0,116,87,77.3,5.7,83.0,82.5,90,66
2023 US Open R64,W vs Wickmayer,97.1,103.5,7.0,109.0,99.2,115,87,75.4,3.7,,,82,68
2023 US Open R128,W vs Rus,96.4,103.0,7.9,107.4,97.4,116,87,74.3,4.8,,,82,65
2023 Wimbledon QF,L vs Sabalenka,95.5,100.6,7.8,107.3,96.6,114,77,80.8,6.0,80.0,79.0,93,74
2023 Wimbledon R16,W vs Andreeva,98.1,105.2,4.9,107.7,101.8,115,94,79.1,5.5,,82.5,89,70
2023 Wimbledon R32,W vs Kostyuk,96.6,104.8,6.4,108.4,97.6,113,84,76.7,5.1,75.0,82.0,86,70
2023 Wimbledon R64,W vs Golubic,96.0,102.6,6.8,105.6,97.9,116,88,76.1,5.6,78.0,83.0,88,68
2023 Wimbledon R128,W vs Kartal,93.4,100.0,6.7,105.2,96.6,117,81,76.4,5.0,,84.0,88,69
2022 US Open R32,L vs Gauff,95.6,105.1,7.3,110.6,101.1,117,81,82.1,6.9,81.0,77.0,95,71
2022 US Open R64,W vs Giorgi,97.8,103.6,7.9,107.8,98.8,118,70,82.3,7.9,82.3,88.0,98,66
2022 US Open R128,W vs Yastremska,100.6,104.9,8.0,106.4,100.7,116,68,86.7,8.3,90.5,89.0,101,68
Career (101 matches),,96.0,104.1,7.2,107.4,99.1,124,63,80.3,6.0,82.0,83.1,107,62
