Match,Result,BLR,DR+,EI,CBF,Deuce A%,Deuce SPW%,Ad A%,Ad SPW%,Deuce RPW%,Ad RPW%
2026 Austin R32,L vs Jovic,0.96,0.66,50.5,2.4,0.0%,69.0%,3.8%,53.8%,31.3%,20.7%
2026 Australian Open R128,L vs Gibson,0.98,0.62,43.3,2.0,3.2%,48.4%,0.0%,46.7%,37.0%,29.2%
2025 Jiujiang F,W vs Tagger,0.96,1.36,56.0,2.3,0.0%,59.4%,0.0%,69.0%,45.0%,57.9%
2025 Jiujiang R32,W vs Paquet,1.19,1.67,46.2,2.6,3.6%,75.0%,0.0%,66.7%,41.2%,40.6%
2025 s Hertogenbosch R32,W vs Siniakova,1.11,1.67,37.5,2.1,4.0%,72.0%,0.0%,45.5%,60.7%,61.5%
2025 Madrid R64,L vs Sabalenka,0.86,0.73,44.2,2.0,0.0%,60.5%,0.0%,51.4%,45.9%,28.6%
2025 Indian Wells R128,L vs Kessler,0.95,0.51,37.8,2.0,0.0%,37.5%,0.0%,35.0%,30.4%,38.1%
2025 Linz QF,L vs Tauson,0.91,0.69,54.8,2.2,2.4%,53.7%,0.0%,55.0%,30.3%,40.0%
2024 US Open R128,L vs Navarro,1.08,0.57,38.1,2.5,0.0%,34.6%,0.0%,36.0%,34.8%,33.3%
2024 Wimbledon R128,L vs Garcia,0.94,0.81,63.9,2.9,10.5%,52.6%,0.0%,44.1%,43.2%,45.5%
2024 Bad Homburg R32,W vs Andreescu,1.20,1.53,45.2,2.1,0.0%,56.3%,0.0%,60.0%,41.4%,66.7%
2024 San Diego R16,W vs Yastremska,1.12,1.30,60.5,3.5,0.0%,63.9%,0.0%,52.8%,51.5%,44.4%
2024 Australian Open R32,L vs Paolini,0.94,0.68,50.2,2.0,3.0%,48.5%,0.0%,51.6%,34.4%,37.9%
2023 US Open R128,L vs Burrage,0.82,0.60,45.8,2.2,13.8%,58.6%,12.0%,68.0%,33.3%,19.2%
2023 Wimbledon R32,L vs Sabalenka,0.87,0.65,47.7,2.2,4.0%,48.0%,12.5%,37.5%,45.9%,38.9%
2023 Wimbledon R64,W vs Begu,1.00,1.20,68.6,2.4,4.7%,48.8%,5.0%,67.5%,51.1%,50.0%
2023 Wimbledon R128,W vs Wickmayer,0.95,1.13,58.4,2.2,4.9%,51.2%,5.6%,55.6%,53.1%,58.7%
2023 Bad Homburg QF,L vs Swiatek,1.02,0.54,42.3,2.2,9.1%,54.5%,9.1%,45.5%,35.7%,16.0%
2023 Roland Garros R32,L vs Svitolina,0.95,0.87,85.6,4.0,0.0%,39.6%,4.4%,57.8%,51.0%,43.2%
2023 Roland Garros R64,W vs Garcia,1.11,1.10,82.8,6.0,6.8%,54.8%,0.0%,60.0%,44.9%,39.6%
2026 (2 matches),,0.97,0.63,47.0,2.2,1.7%,58.3%,1.8%,50.0%,33.9%,24.5%
2025 (6 matches),,0.99,1.01,47.1,2.2,1.6%,59.6%,0.0%,54.9%,42.6%,44.5%
2024 (5 matches),,1.05,0.93,52.8,2.5,3.0%,52.1%,0.0%,49.4%,41.6%,46.0%
2023 (10 matches),,0.99,0.93,59.7,2.5,5.1%,52.6%,4.3%,54.3%,43.0%,44.8%
2022 (1 matches),,0.99,1.30,61.7,2.5,2.8%,52.8%,12.1%,72.7%,50.0%,48.6%
Career (150 matches),,1.00,0.99,58.1,2.8,3.1%,54.9%,2.8%,54.2%,43.2%,46.7%
