Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,20,9,11,45.0%,19-23,45.2%,174-209,45.4%,1-0,100.0%,20,56.5%,34.0%,1.7%,6.0%,62.0%,58.7%,42.1%,52.4%,42.8%,47.3%,0.90
Clay,10,3,7,30.0%,9-14,39.1%,104-118,46.8%,2-1,66.7%,10,55.1%,38.4%,0.9%,4.7%,60.4%,55.9%,45.0%,51.6%,45.7%,48.7%,0.94
Grass,8,4,4,50.0%,8-9,47.1%,80-78,50.6%,0-0,-,8,62.0%,39.2%,1.7%,5.3%,62.8%,58.9%,50.3%,55.7%,45.9%,50.5%,1.04
Grand Slams,5,1,4,20.0%,3-8,27.3%,41-59,41.0%,1-0,100.0%,5,49.0%,32.0%,1.8%,3.9%,64.0%,55.9%,39.2%,49.8%,41.3%,45.6%,0.82
Premiers,3,0,3,0.0%,0-6,0.0%,20-37,35.1%,0-0,-,3,41.4%,28.6%,1.5%,8.4%,60.9%,50.4%,38.0%,45.5%,40.2%,43.0%,0.74
Internationals,17,10,7,58.8%,21-15,58.3%,185-172,51.8%,2-0,100.0%,17,63.1%,40.2%,1.2%,5.7%,62.6%,59.6%,48.4%,55.4%,46.2%,50.6%,1.04
Finals,1,1,0,100.0%,2-0,100.0%,12-6,66.7%,0-0,-,1,77.8%,55.6%,0.0%,4.9%,65.6%,70.0%,52.4%,63.9%,51.3%,56.8%,1.42
Semi-finals,1,1,0,100.0%,2-0,100.0%,12-8,60.0%,0-0,-,1,60.0%,60.0%,1.6%,9.8%,59.0%,61.1%,44.0%,54.1%,51.7%,52.7%,1.13
Quarter-finals,2,1,1,50.0%,2-2,50.0%,23-23,50.0%,0-0,-,2,56.5%,43.5%,0.0%,4.7%,58.6%,57.3%,41.5%,50.8%,47.2%,48.7%,0.96
vs Righties,35,13,22,37.1%,30-46,39.5%,322-388,45.4%,3-1,75.0%,35,55.7%,34.8%,1.4%,5.6%,61.8%,56.9%,43.7%,51.9%,43.6%,47.6%,0.91
vs Lefties,2,2,0,100.0%,4-0,100.0%,24-11,68.6%,0-0,-,2,77.8%,58.8%,3.8%,2.8%,55.7%,72.9%,57.4%,66.0%,54.1%,60.0%,1.59
vs Top 10,5,0,5,0.0%,1-10,9.1%,26-65,28.6%,0-0,-,5,34.1%,23.4%,0.3%,4.9%,62.7%,51.0%,32.5%,44.1%,40.1%,42.1%,0.72
