Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2026 Montpellier R32,L vs Mannarino,0.0%,-,7.5%,44.4%,7.1%,18.8%,25.0%,6.8%,0.0%,1.4%,0.0%,-121,-119
2025 Wimbledon R32,L vs Sinner,1.3%,100.0%,14.4%,59.1%,10.7%,14.8%,0.0%,3.2%,16.7%,2.3%,16.7%,-86,-84
2025 Wimbledon R128,W vs Loffhagen,4.0%,100.0%,14.4%,75.0%,7.5%,17.2%,0.0%,9.8%,36.4%,2.4%,42.9%,-79,-81
2025 Rome R64,L vs Hurkacz,1.7%,0.0%,9.1%,70.0%,12.0%,17.4%,0.0%,9.1%,36.4%,2.6%,20.0%,-35,-25
2025 Barcelona R16,L vs Fils,4.3%,100.0%,4.0%,100.0%,7.5%,0.0%,0.0%,5.9%,28.6%,2.8%,25.0%,-68,-68
2025 Buenos Aires R16,W vs Schwartzman,8.2%,75.0%,15.4%,50.0%,8.3%,14.3%,0.0%,3.6%,14.3%,4.0%,50.0%,-136,-125
2025 Rotterdam QF,L vs Alcaraz,5.3%,0.0%,18.3%,41.2%,4.6%,4.2%,0.0%,6.4%,25.0%,2.9%,0.0%,-60,-78
2025 Australian Open R64,L vs Zverev,4.2%,33.3%,14.5%,47.6%,8.4%,10.7%,0.0%,0.0%,0.0%,1.5%,25.0%,-128,-138
2024 US Open R128,W vs Kasnikowski,2.8%,50.0%,19.2%,65.6%,16.6%,25.5%,20.0%,13.9%,36.4%,2.2%,15.4%,-6,10
2024 Hamburg SF,L vs Zverev,4.7%,66.7%,13.8%,62.5%,8.8%,10.5%,0.0%,21.7%,50.0%,3.3%,0.0%,-53,-70
2024 Roland Garros R64,L vs Rublev,1.1%,100.0%,2.8%,80.0%,33.3%,29.6%,0.0%,17.0%,40.0%,3.5%,25.0%,-71,-92
2024 Madrid Q1,L vs Albot,4.5%,50.0%,17.5%,58.8%,11.1%,11.1%,33.3%,11.1%,15.4%,3.1%,0.0%,-82,-92
2024 Estoril F,L vs Hurkacz,0.0%,-,10.1%,66.7%,9.3%,16.7%,0.0%,8.6%,25.0%,3.8%,62.5%,-38,-59
2024 Estoril SF,W vs Ruud,10.1%,70.0%,23.0%,81.3%,9.9%,11.6%,10.5%,9.6%,28.1%,2.9%,46.2%,-29,-40
2023 Roland Garros R128,L vs Griekspoor,0.6%,0.0%,8.3%,62.5%,12.8%,10.9%,23.1%,7.5%,12.5%,7.0%,58.6%,-40,-18
2023 Roland Garros Q2,W vs Added,1.3%,100.0%,15.7%,68.0%,16.2%,23.3%,12.5%,4.9%,25.0%,3.3%,40.0%,-47,-54
2023 Rio de Janeiro R16,L vs Jarry,0.0%,-,4.6%,40.0%,5.7%,12.5%,0.0%,2.1%,12.5%,2.3%,25.0%,-139,-134
2023 Australian Open R128,L vs Hurkacz,1.2%,0.0%,13.0%,55.0%,14.3%,22.6%,0.0%,6.6%,33.3%,2.3%,16.7%,-77,-73
2022 Naples CH R32,L vs Daniel,0.0%,-,23.2%,69.2%,7.3%,9.7%,0.0%,10.9%,20.0%,3.8%,27.3%,-75,-67
2022 Tokyo QF,L vs Kwon,1.7%,100.0%,11.5%,50.0%,12.8%,12.0%,66.7%,6.0%,20.0%,2.4%,20.0%,-96,-76
Career (37 matches),,3.6%,68.9%,14.1%,66.7%,11.0%,13.3%,12.9%,7.7%,23.0%,3.1%,29.9%,-62,-59
