Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,11,2,9,18.2%,6-21,22.2%,99-148,40.1%,0-2,0.0%,11,69.2%,12.8%,2.1%,5.1%,62.1%,63.4%,47.2%,57.2%,29.7%,44.6%,0.70
Clay,19,7,12,36.8%,17-26,39.5%,190-220,46.3%,3-2,60.0%,17,66.7%,24.5%,1.2%,3.8%,71.0%,62.8%,42.9%,57.0%,39.1%,48.1%,0.91
Grass,5,2,3,40.0%,7-8,46.7%,59-76,43.7%,1-0,100.0%,5,63.6%,23.5%,0.2%,4.4%,67.6%,61.5%,43.8%,55.8%,37.4%,47.0%,0.85
Grand Slams,6,2,4,33.3%,6-13,31.6%,67-102,39.6%,1-0,100.0%,6,60.2%,18.8%,0.3%,5.1%,66.8%,59.5%,43.7%,54.3%,34.4%,45.1%,0.75
Masters,9,3,6,33.3%,8-14,36.4%,94-116,44.8%,1-0,100.0%,9,70.9%,18.9%,1.5%,3.8%,69.0%,61.9%,49.4%,58.0%,35.0%,47.2%,0.83
Other Tours,19,5,14,26.3%,14-27,34.1%,170-213,44.4%,1-4,20.0%,18,67.7%,22.2%,1.7%,4.3%,66.7%,64.8%,42.6%,57.4%,37.1%,47.3%,0.87
Best of 5,6,2,4,33.3%,6-13,31.6%,67-102,39.6%,1-0,100.0%,6,60.2%,18.8%,0.3%,5.1%,66.8%,59.5%,43.7%,54.3%,34.4%,45.1%,0.75
Best of 3,29,9,20,31.0%,24-42,36.4%,281-342,45.1%,3-4,42.9%,27,68.9%,21.0%,1.6%,4.1%,67.6%,63.7%,45.1%,57.6%,36.4%,47.3%,0.86
Quarter-finals,2,0,2,0.0%,0-3,0.0%,7-19,26.9%,0-0,-,2,50.0%,0.0%,0.0%,5.7%,70.5%,58.1%,26.9%,48.9%,32.7%,40.1%,0.64
vs Righties,29,8,21,27.6%,23-48,32.4%,290-376,43.5%,3-3,50.0%,27,67.0%,19.3%,1.4%,4.4%,67.3%,61.9%,46.0%,56.7%,35.2%,46.6%,0.81
vs Lefties,5,2,3,40.0%,5-7,41.7%,46-63,42.2%,1-1,50.0%,5,63.5%,21.8%,0.9%,3.6%,68.1%,65.2%,39.0%,56.8%,37.1%,46.5%,0.86
vs Top 10,2,0,2,0.0%,0-6,0.0%,12-36,25.0%,0-0,-,2,52.2%,0.0%,1.1%,3.4%,73.4%,56.9%,36.2%,51.4%,19.8%,38.0%,0.41
