Match,Result,SnV Freq,SnV W%,Net Freq,Net W%,FH: Wnr%,DTL Wnr%,IO Wnr%,BH: Wnr%,DTL Wnr%,Drop: Freq,Wnr%,RallyAgg,ReturnAgg
2019 Washington R64,L vs Hurkacz,4.3%,50.0%,20.2%,71.4%,10.5%,25.0%,20.0%,7.1%,16.7%,0.0%,-,110,63
2019 Indian Wells R128,L vs Hurkacz,3.8%,50.0%,16.1%,65.0%,8.4%,11.1%,18.2%,6.3%,12.5%,0.0%,-,-13,-11
2017 Indian Wells R16,L vs Nishikori,3.6%,50.0%,17.0%,73.7%,7.4%,16.7%,0.0%,10.6%,28.6%,0.0%,-,1,-4
2017 Indian Wells R128,W vs Kozlov,4.3%,66.7%,21.3%,64.7%,10.3%,20.4%,0.0%,7.3%,0.0%,0.0%,-,-37,-16
2017 Acapulco R16,L vs Kyrgios,2.2%,0.0%,10.4%,45.5%,11.7%,28.6%,0.0%,7.7%,0.0%,0.0%,-,22,23
2016 Atlanta QF,L vs Opelka,4.0%,100.0%,2.7%,66.7%,17.5%,20.0%,33.3%,11.1%,0.0%,0.0%,-,6,67
2015 Basel QF,L vs Sock,1.3%,100.0%,14.7%,72.0%,15.7%,23.5%,8.3%,4.7%,0.0%,0.0%,-,74,18
2015 Washington R32,L vs Pospisil,3.0%,50.0%,3.1%,50.0%,2.9%,5.6%,0.0%,4.5%,0.0%,0.0%,-,45,38
2015 Indian Wells R64,W vs Chardy,0.0%,-,3.7%,60.0%,4.7%,8.3%,0.0%,4.5%,0.0%,0.0%,-,-54,-45
2014 Stockholm R32,L vs Mayer,7.1%,50.0%,17.8%,62.5%,10.8%,19.4%,8.3%,3.2%,0.0%,0.0%,-,45,17
2014 Canada R64,W vs Dancevic,0.0%,-,11.3%,84.2%,10.1%,17.4%,7.7%,7.8%,40.0%,0.0%,-,46,58
2014 Houston QF,L vs Verdasco,5.0%,66.7%,19.4%,62.5%,14.8%,19.2%,0.0%,11.1%,8.3%,0.0%,-,-50,-44
2014 Miami R64,L vs Isner,2.3%,100.0%,8.2%,60.0%,16.3%,10.0%,14.3%,6.1%,0.0%,0.0%,-,-38,-29
2011 Bangkok F,L vs Murray,11.8%,50.0%,23.9%,52.9%,8.1%,15.0%,12.5%,5.2%,12.5%,0.0%,-,-46,-67
Career (14 matches),,3.4%,60.0%,13.2%,65.6%,10.7%,17.2%,7.8%,6.6%,9.6%,0.0%,-,6,3
