Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,10,Hard,16,6,10,37.5%,8,6,2,75.0%,1996,2005,R16,15,0.90,3.5%,4.1%,65.5%,67.0%,44.3%,59.2%,36.7%,54.9%,42.0%
Roland Garros,8,Clay,16,8,8,50.0%,7,3,4,42.9%,1996,2003,R32,16,1.01,3.4%,5.0%,60.4%,65.2%,45.2%,57.3%,43.3%,60.8%,43.8%
Wimbledon,10,Grass,28,18,10,64.3%,17,8,9,47.1%,1995,2004,QF,28,1.10,6.6%,4.8%,66.8%,73.9%,48.0%,65.3%,38.0%,65.6%,41.9%
US Open,9,Hard,25,16,9,64.0%,15,7,8,46.7%,1995,2003,SF,25,1.05,5.1%,3.6%,63.7%,72.3%,52.6%,65.2%,36.6%,62.2%,39.1%
Davis Cup,10,,27,15,12,55.6%,16,8,8,50.0%,1996,2005,,0,,,,,,,,,,
Monte Carlo Masters,9,Clay,19,10,9,52.6%,4,1,3,25.0%,1996,2004,QF,19,0.99,3.2%,3.9%,60.1%,65.9%,46.5%,58.2%,41.6%,58.7%,43.8%
s Hertogenbosch,8,Grass,23,17,6,73.9%,4,3,1,75.0%,1998,2005,W,23,1.15,5.9%,5.9%,59.2%,73.0%,53.7%,65.1%,40.1%,58.2%,45.8%
Indian Wells Masters,8,Hard,17,9,8,52.9%,7,5,2,71.4%,1996,2004,QF,16,1.00,4.8%,3.7%,61.1%,70.0%,49.8%,62.1%,38.1%,51.1%,36.1%
Cincinnati Masters,8,Hard,14,6,8,42.9%,4,2,2,50.0%,1997,2004,R32,14,0.92,5.4%,5.0%,59.6%,67.7%,50.9%,60.9%,36.0%,61.7%,35.8%
Hamburg Masters,8,Clay,13,5,8,38.5%,4,1,3,25.0%,1996,2004,R32,13,0.93,3.7%,3.3%,59.2%,67.1%,48.0%,59.3%,38.0%,62.9%,41.1%
Miami Masters,8,Hard,13,5,8,38.5%,2,0,2,0.0%,1996,2004,R16,13,0.94,2.9%,4.5%,60.6%,65.4%,49.8%,59.2%,38.2%,57.6%,49.2%
