Mtgs,Opponent,W,L,Win%,TB,W,L,TB%,First,Last,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
10,Carlos Moya [ESP],3,7,30.0%,1,0,1,0.0%,1995,2004,8,0.81,2.3%,4.5%,58.9%,66.4%,46.2%,58.1%,34.1%,56.0%,42.9%
9,Mark Philippoussis [AUS],3,6,33.3%,6,2,4,33.3%,1996,2004,9,0.84,5.3%,6.3%,60.8%,71.9%,53.3%,64.6%,29.6%,67.2%,46.2%
9,Nicolas Lapentti [ECU],6,3,66.7%,5,2,3,40.0%,1996,2003,6,1.11,3.2%,5.0%,59.0%,69.8%,54.1%,63.4%,40.8%,59.5%,52.1%
9,Arnaud Clement [FRA],7,2,77.8%,8,7,1,87.5%,1998,2003,7,1.16,4.6%,4.7%,64.3%,70.0%,56.1%,65.0%,40.4%,41.7%,42.9%
9,Gustavo Kuerten [BRA],2,7,22.2%,7,4,3,57.1%,1997,2002,8,0.86,4.5%,3.5%,65.7%,69.8%,46.9%,62.0%,32.7%,53.8%,35.1%
8,Jan Michael Gambill [USA],2,6,25.0%,6,3,3,50.0%,1997,2003,7,0.88,5.4%,4.9%,61.1%,69.5%,45.5%,60.1%,34.9%,67.1%,27.3%
8,Yevgeny Kafelnikov [RUS],3,5,37.5%,2,1,1,50.0%,1997,2003,8,0.97,7.5%,4.9%,59.1%,65.9%,45.2%,57.4%,41.2%,54.1%,43.4%
7,Vincent Spadea [USA],4,3,57.1%,3,2,1,66.7%,1995,2004,7,1.06,7.0%,6.1%,63.6%,70.8%,42.2%,60.4%,42.0%,57.1%,41.9%
7,Felix Mantilla [ESP],4,3,57.1%,2,2,0,100.0%,1993,2004,6,0.97,7.1%,3.6%,62.5%,70.9%,47.4%,62.1%,36.8%,51.3%,35.3%
7,Wayne Ferreira [RSA],2,5,28.6%,1,1,0,100.0%,1995,2002,7,0.88,3.2%,6.1%,58.7%,64.5%,45.0%,56.4%,38.2%,59.7%,38.0%
7,Karol Kucera [SVK],3,4,42.9%,1,0,1,0.0%,1995,2002,7,0.88,2.8%,4.2%,62.5%,64.4%,40.7%,55.5%,39.0%,60.0%,37.5%
7,Albert Costa [ESP],3,4,42.9%,4,2,2,50.0%,1995,2000,7,1.02,3.4%,7.6%,56.8%,71.1%,44.9%,59.8%,41.1%,54.0%,47.8%
6,Rainer Schuettler [GER],4,2,66.7%,1,1,0,100.0%,2000,2005,5,1.18,3.0%,3.0%,69.4%,66.7%,63.4%,65.7%,40.7%,64.5%,41.9%
6,Andy Roddick [USA],1,5,16.7%,2,0,2,0.0%,2001,2004,6,0.63,3.5%,2.2%,71.0%,63.7%,49.3%,59.5%,25.7%,43.2%,21.7%
6,Thomas Enqvist [SWE],3,3,50.0%,1,1,0,100.0%,1996,2004,6,0.96,8.1%,4.8%,64.4%,65.0%,51.0%,60.0%,38.2%,69.0%,41.2%
