Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2010,830,17,,,,,,,,,992,8,,
2008,114,299,135,1609,149,1549,106,1592,164,1430,,,,
2007,103,341,112,1634,100,1607,106,1581,172,1395,,,,
2006,51,422,81,1707,72,1679,60,1676,146,1445,,,,
2005,87,394,62,1757,64,1708,57,1729,141,1457,,,,
2004,35,836,41,1835,50,1751,31,1806,108,1530,,,,
2003,66,532,61,1777,78,1675,43,1768,118,1519,,,,
2002,70,513,81,1722,80,1662,78,1670,127,1494,,,,
2001,131,242,107,1652,130,1557,80,1667,,,,,,
2000,114,285,136,1598,123,1575,121,1574,149,1435,,,,
1999,97,303,79,1715,74,1670,88,1637,97,1543,,,,
1998,240,81,,,,,,,,,,,,
1997,401,30,,,,,,,,,,,,
1996,1078,1,,,,,,,,,,,,
