Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2008,31,21,10,67.7%,45-24,65.2%,359-275,56.6%,3-2,60.0%,0,,,,,,,,,,,,F (3x)
2007,3,1,2,33.3%,3-4,42.9%,32-37,46.4%,1-0,100.0%,0,,,,,,,,,,,,R16 (Poitiers 100K)
2006,4,2,2,50.0%,5-5,50.0%,51-55,48.1%,2-1,66.7%,0,,,,,,,,,,,,QF (Zagreb 50K)
2005,9,7,2,77.8%,14-3,82.4%,92-53,63.4%,0-0,-,0,,,,,,,,,,,,F (Joue les Tours 50K)
2003,4,3,1,75.0%,4-2,66.7%,28-24,53.8%,1-0,100.0%,0,,,,,,,,,,,,SF (Vittel 50K)
2002,5,3,2,60.0%,6-4,60.0%,52-43,54.7%,0-2,0.0%,0,,,,,,,,,,,,QF (Ortisei 50K)
2001,13,10,3,76.9%,19-6,76.0%,133-86,60.7%,0-1,0.0%,0,,,,,,,,,,,,W (Fontanafredda 25K)
2000,2,1,1,50.0%,2-3,40.0%,22-23,48.9%,0-0,-,0,,,,,,,,,,,,R16 (Bronx 50K)
1999,19,15,4,78.9%,31-9,77.5%,215-133,61.8%,1-2,33.3%,0,,,,,,,,,,,,W (2x)
1998,21,16,5,76.2%,31-14,68.9%,235-164,58.9%,2-2,50.0%,0,,,,,,,,,,,,W (Otocec 25K)
1997,15,10,5,66.7%,20-13,60.6%,165-124,57.1%,1-0,100.0%,0,,,,,,,,,,,,F (Zadar 10K)
1996,3,0,3,0.0%,1-6,14.3%,21-39,35.0%,0-0,-,0,,,,,,,,,,,,R32 (3x)
Career,129,89,40,69.0%,181-93,66.1%,1405-1056,57.1%,11-10,52.4%,0,,,,,,,,,,,,
