Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
Current (2024-09-09),1143,11,,,,,,,,,,,,
2023,522,97,293,1383,232,1422,319,1304,,,,,,
2022,424,107,219,1486,191,1492,227,1406,152,1450,,,,
2021,267,262,151,1595,151,1554,153,1518,117,1526,,,,
2020,390,123,,,,,,,,,324,237,,
2019,262,225,171,1580,163,1547,189,1470,128,1511,348,206,,
2018,136,438,178,1545,173,1501,170,1470,125,1505,386,139,,
2017,236,234,177,1500,175,1469,156,1459,156,1409,353,161,,
2016,173,326,160,1562,153,1537,138,1532,146,1464,1045,13,,
2015,125,468,135,1604,137,1556,114,1576,135,1487,377,131,,
2014,69,753,70,1754,74,1704,108,1604,57,1636,278,186,,
2013,214,293,146,1615,123,1597,178,1475,,,238,279,,
2012,332,133,,,,,,,,,360,143,,
2011,864,17,,,,,,,,,1070,14,,
