Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,15,8,7,53.3%,17-15,53.1%,150-145,50.8%,2-0,100.0%,0,,,,,,,,,,,
Clay,11,2,9,18.2%,8-18,30.8%,94-134,41.2%,0-2,0.0%,0,,,,,,,,,,,
Finals,1,0,1,0.0%,0-2,0.0%,4-12,25.0%,0-0,-,0,,,,,,,,,,,
Semi-finals,1,1,0,100.0%,2-0,100.0%,12-7,63.2%,0-0,-,0,,,,,,,,,,,
Quarter-finals,2,1,1,50.0%,3-2,60.0%,27-24,52.9%,1-0,100.0%,0,,,,,,,,,,,
vs Righties,17,5,12,29.4%,14-25,35.9%,160-198,44.7%,1-2,33.3%,0,,,,,,,,,,,
vs Lefties,1,1,0,100.0%,2-0,100.0%,13-10,56.5%,1-0,100.0%,0,,,,,,,,,,,
