Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,27,10,17,37.0%,26-38,40.6%,279-305,47.8%,1-2,33.3%,25,70.5%,24.6%,8.0%,5.4%,60.3%,67.4%,47.3%,59.4%,38.9%,49.3%,0.96
Clay,13,3,10,23.1%,9-22,29.0%,123-164,42.9%,0-4,0.0%,13,60.9%,23.9%,4.1%,4.8%,62.1%,59.3%,45.7%,54.1%,38.4%,46.6%,0.84
Grass,9,3,6,33.3%,7-13,35.0%,93-114,44.9%,2-1,66.7%,9,68.4%,7.3%,7.3%,4.0%,60.8%,68.5%,46.6%,59.9%,33.7%,47.4%,0.84
Grand Slams,13,6,7,46.2%,14-15,48.3%,130-145,47.3%,3-1,75.0%,12,68.3%,23.3%,7.6%,3.3%,63.5%,67.6%,48.6%,60.7%,38.3%,49.4%,0.97
Premiers,3,0,3,0.0%,1-6,14.3%,28-41,40.6%,0-0,-,3,72.2%,0.0%,5.4%,4.5%,59.3%,71.0%,42.2%,59.3%,29.0%,44.9%,0.71
Internationals,29,8,21,27.6%,22-47,31.9%,289-352,45.1%,0-6,0.0%,29,66.2%,23.2%,7.0%,5.3%,60.1%,63.5%,46.4%,56.7%,38.6%,48.0%,0.89
Quarter-finals,1,0,1,0.0%,0-2,0.0%,9-13,40.9%,0-0,-,1,-,-,6.7%,1.3%,70.7%,60.4%,59.1%,60.0%,30.3%,46.1%,0.76
vs Righties,41,13,28,31.7%,35-61,36.5%,417-486,46.2%,3-7,30.0%,39,65.8%,22.0%,6.8%,5.0%,61.1%,65.0%,47.2%,58.1%,38.3%,48.3%,0.91
vs Lefties,8,3,5,37.5%,7-12,36.8%,78-97,44.6%,0-0,-,8,72.2%,23.1%,6.6%,4.7%,59.8%,66.9%,44.5%,57.9%,35.0%,47.6%,0.83
vs Top 10,2,0,2,0.0%,0-4,0.0%,13-25,34.2%,0-0,-,2,37.5%,12.5%,4.9%,3.5%,63.2%,59.3%,45.3%,54.2%,29.0%,43.4%,0.63
