Match,Result,Avg Speed,1st Avg,1st StDev,1st T Avg,1st Wide Avg,Max 1st,Min 1st,2nd Avg,2nd StDev,2nd T Avg,2nd Wide Avg,Max 2nd,Min 2nd
2015 US Open R64,L vs Keys,98.6,103.1,7.3,,,116,87,91.4,3.4,,,97,82
2015 Roland Garros R64,L vs Bacsinszky,98.4,102.7,5.0,,,112,95,89.3,2.9,,,95,83
2015 Australian Open R64,L vs Giorgi,95.6,102.3,7.1,,,115,90,87.3,4.8,,,98,75
2014 Wimbledon R16,L vs Safarova,102.4,106.3,7.5,,,118,91,92.6,3.0,,,98,88
Career (4 matches),,98.7,103.7,6.8,,,118,87,89.9,3.7,,,98,75
