Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,15,2,13,13.3%,6-26,18.8%,96-181,34.7%,1-4,20.0%,1,-,-,1.1%,10.2%,61.4%,50.0%,32.4%,43.2%,49.5%,46.4%,0.87
Clay,36,15,21,41.7%,34-45,43.0%,341-389,46.7%,4-3,57.1%,8,-,-,0.6%,5.8%,63.1%,59.0%,39.3%,51.8%,45.4%,48.6%,0.94
Grass,3,1,2,33.3%,3-5,37.5%,33-38,46.5%,0-0,-,0,,,,,,,,,,,
Grand Slams,5,1,4,20.0%,3-9,25.0%,34-62,35.4%,0-0,-,0,,,,,,,,,,,
Premiers,1,0,1,0.0%,0-2,0.0%,5-12,29.4%,0-0,-,0,,,,,,,,,,,
Internationals,27,10,17,37.0%,21-35,37.5%,222-276,44.6%,2-1,66.7%,9,-,-,0.7%,6.5%,62.9%,57.7%,38.2%,50.4%,46.1%,48.2%,0.93
Quarter-finals,4,0,4,0.0%,1-8,11.1%,21-51,29.2%,0-0,-,1,-,-,0.0%,2.5%,65.0%,38.5%,21.4%,32.5%,29.7%,31.2%,0.44
vs Righties,46,14,32,30.4%,34-66,34.0%,384-515,42.7%,3-5,37.5%,8,-,-,0.8%,6.3%,61.5%,56.7%,39.1%,49.9%,44.2%,47.0%,0.88
vs Lefties,4,0,4,0.0%,1-8,11.1%,30-56,34.9%,1-2,33.3%,0,,,,,,,,,,,
vs Top 10,2,0,2,0.0%,0-4,0.0%,3-24,11.1%,0-0,-,0,,,,,,,,,,,
