Year,WTA Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: WTA Rank,Points,D-Lo Rank,D-Lo
2016,,,,,,,,,,,419,115,,
2015,,,,,,,,,,,293,202,,
2013,1028,10,,,,,,,,,52,1695,,
2012,413,88,,,,,,,,,46,1968,,
2011,488,71,,,,,,,,,126,640,,
2010,558,50,,,,,,,,,401,128,,
2009,158,354,194,1491,198,1419,160,1487,196,1314,,,,
2008,209,140,177,1533,194,1435,139,1533,,,,,,
2006,684,15,,,,,,,,,,,,
2005,592,23,,,,,,,,,,,,
2004,326,73,,,,,,,,,,,,
2003,192,152,161,1535,176,1429,137,1523,187,1346,,,,
2002,138,237,190,1502,195,1419,161,1499,182,1352,,,,
2001,202,132,183,1491,183,1425,150,1502,182,1359,,,,
2000,123,258,142,1603,132,1537,128,1559,129,1477,,,,
1999,137,196,121,1623,120,1551,147,1480,101,1524,,,,
1998,179,126,,,,,,,,,,,,
1997,236,76,,,,,,,,,,,,
1996,220,80,,,,,,,,,,,,
1995,282,3,,,,,,,,,,,,
