Year,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR,Best
2005,19,7,12,36.8%,21-27,43.8%,229-240,48.8%,4-4,50.0%,19,75.3%,22.2%,10.1%,5.9%,52.3%,73.7%,48.0%,61.4%,36.6%,49.3%,0.95,QF (2x)
2004,35,14,21,40.0%,49-56,46.7%,514-538,48.9%,11-11,50.0%,31,77.6%,19.5%,8.2%,5.7%,55.2%,74.1%,48.0%,62.4%,35.4%,49.3%,0.94,SF (Memphis)
2003,39,13,26,33.3%,35-61,36.5%,457-516,47.0%,6-14,30.0%,35,77.3%,17.9%,10.5%,7.0%,54.2%,74.9%,48.2%,62.7%,35.0%,48.9%,0.94,SF (Stockholm)
2002,44,26,18,59.1%,64-49,56.6%,581-531,52.2%,14-8,63.6%,38,77.0%,27.4%,8.8%,6.8%,50.3%,75.4%,49.9%,62.7%,39.5%,51.1%,1.06,W (Marseille)
2001,58,35,23,60.3%,86-65,57.0%,782-697,52.9%,11-13,45.8%,58,78.7%,26.7%,9.3%,6.6%,53.4%,73.8%,49.0%,62.2%,40.1%,51.1%,1.06,SF (3x)
2000,75,51,24,68.0%,126-69,64.6%,1049-851,55.2%,18-15,54.5%,73,83.5%,26.1%,10.9%,6.1%,54.2%,77.4%,52.9%,66.2%,39.0%,52.5%,1.15,W (2x)
1999,76,48,28,63.2%,123-78,61.2%,1069-917,53.8%,16-12,57.1%,70,81.3%,26.2%,10.3%,5.2%,57.4%,75.7%,51.1%,65.2%,39.3%,52.1%,1.13,W (3x)
1998,51,36,15,70.6%,85-48,63.9%,716-567,55.8%,8-14,36.4%,50,83.5%,27.1%,12.1%,4.6%,57.2%,76.8%,52.0%,66.2%,38.6%,52.4%,1.14,W (2x)
1997,62,39,23,62.9%,94-56,62.7%,804-661,54.9%,9-10,47.4%,54,84.1%,25.4%,11.1%,4.4%,55.1%,78.2%,51.7%,66.3%,38.3%,52.1%,1.14,W (Marseille)
1996,88,58,30,65.9%,143-79,64.4%,1190-972,55.0%,22-15,59.5%,78,80.5%,29.0%,9.7%,5.5%,56.5%,77.0%,47.9%,64.3%,40.3%,52.3%,1.13,W (3x)
1995,87,63,24,72.4%,138-69,66.7%,1103-855,56.3%,14-12,53.8%,83,80.8%,32.2%,9.8%,5.7%,55.0%,76.1%,50.0%,64.4%,41.8%,52.8%,1.17,W (5x)
1994,42,23,19,54.8%,53-53,50.0%,522-519,50.1%,9-11,45.0%,41,76.3%,24.6%,9.0%,6.2%,54.8%,75.4%,46.4%,62.3%,38.4%,50.5%,1.02,SF (Auckland)
1993,41,18,23,43.9%,48-58,45.3%,489-512,48.9%,4-9,30.8%,39,72.3%,25.8%,7.2%,7.2%,54.3%,73.7%,43.0%,59.7%,39.7%,49.6%,0.99,W (Schenectady)
1992,22,14,8,63.6%,31-23,57.4%,281-260,51.9%,6-6,50.0%,22,76.1%,28.0%,7.5%,6.5%,54.5%,72.5%,48.1%,61.5%,39.8%,50.9%,1.03,W (Bolzano)
1991,9,3,6,33.3%,9-14,39.1%,109-109,50.0%,0-5,0.0%,9,73.8%,28.3%,6.6%,7.3%,50.0%,68.1%,50.0%,59.1%,41.6%,50.2%,1.02,QF (Adelaide)
1990,1,0,1,0.0%,0-2,0.0%,6-12,33.3%,0-0,-,0,,,,,,,,,,,,R32 (Bastad)
1989,1,0,1,0.0%,0-2,0.0%,3-12,20.0%,0-0,-,0,,,,,,,,,,,,R64 (Munich)
Career,750,448,302,59.7%,1105-809,57.7%,9904-8769,53.0%,152-159,48.9%,700,79.7%,26.4%,9.8%,5.9%,54.8%,75.6%,49.5%,63.8%,39.1%,51.4%,1.08,
