Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,458,293,165,64.0%,702-444,61.3%,6030-5116,54.1%,94-82,53.4%,430,80.8%,27.1%,9.7%,5.8%,54.4%,75.9%,50.1%,64.2%,39.5%,51.9%,1.10
Clay,121,58,63,47.9%,150-160,48.4%,1465-1482,49.7%,18-23,43.9%,113,71.3%,29.8%,6.7%,5.5%,56.7%,70.0%,46.3%,59.7%,41.2%,50.4%,1.02
Grass,41,20,21,48.8%,68-64,51.5%,681-621,52.3%,9-20,31.0%,40,83.3%,21.3%,12.0%,7.9%,53.6%,79.9%,49.3%,65.7%,35.9%,50.7%,1.05
Carpet,130,77,53,59.2%,185-141,56.7%,1728-1550,52.7%,31-34,47.7%,117,82.6%,22.5%,11.9%,5.6%,54.9%,78.5%,50.1%,65.7%,37.2%,51.3%,1.08
Grand Slams,109,63,46,57.8%,222-169,56.8%,1988-1787,52.7%,29-30,49.2%,103,78.4%,27.0%,8.9%,5.9%,56.3%,76.2%,47.0%,63.4%,38.9%,51.1%,1.06
Masters,182,103,79,56.6%,230-186,55.3%,2119-1954,52.0%,32-35,47.8%,177,79.2%,24.5%,9.3%,5.7%,54.6%,74.3%,50.4%,63.5%,38.4%,50.9%,1.05
Other Tours,425,262,163,61.6%,591-407,59.2%,5224-4506,53.7%,81-86,48.5%,411,80.4%,27.0%,10.2%,6.0%,54.3%,75.9%,50.0%,64.1%,39.6%,51.8%,1.10
Best of 5,138,81,57,58.7%,284-212,57.3%,2541-2279,52.7%,39-35,52.7%,109,78.7%,27.0%,9.1%,5.8%,56.3%,76.2%,47.5%,63.6%,38.9%,51.2%,1.07
Best of 3,612,367,245,60.0%,821-597,57.9%,7363-6490,53.2%,113-124,47.7%,591,80.0%,26.2%,10.0%,5.9%,54.4%,75.5%,50.0%,63.9%,39.2%,51.5%,1.09
Finals,27,19,8,70.4%,47-28,62.7%,396-342,53.7%,8-5,61.5%,27,81.1%,25.5%,11.7%,5.1%,56.4%,75.9%,52.4%,65.7%,39.3%,52.2%,1.14
Semi-finals,48,26,22,54.2%,63-53,54.3%,596-542,52.4%,11-9,55.0%,47,82.1%,22.5%,10.9%,5.1%,54.8%,75.9%,51.1%,64.7%,37.3%,51.0%,1.06
Quarter-finals,90,47,43,52.2%,112-99,53.1%,1073-1008,51.6%,13-20,39.4%,89,80.7%,21.9%,10.5%,5.8%,54.9%,76.1%,48.6%,63.7%,37.2%,50.6%,1.03
vs Righties,638,376,262,58.9%,929-699,57.1%,8388-7478,52.9%,134-125,51.7%,592,79.3%,26.5%,9.7%,5.9%,54.9%,75.3%,49.4%,63.6%,39.3%,51.4%,1.08
vs Lefties,112,72,40,64.3%,176-110,61.5%,1516-1291,54.0%,18-34,34.6%,108,82.2%,25.6%,10.2%,6.0%,54.6%,77.7%,49.6%,64.9%,38.1%,51.5%,1.09
vs Top 10,107,41,66,38.3%,115-166,40.9%,1341-1477,47.6%,24-29,45.3%,95,77.0%,18.7%,10.5%,5.5%,54.6%,75.0%,47.3%,62.4%,35.1%,48.9%,0.94
