Event,Yrs,Surface,M,W,L,Win%,TB,W,L,TB%,First,Last,Best,MS,DR,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,BPSvd%,BPCnv%
Australian Open,13,Hard,34,21,13,61.8%,16,10,6,62.5%,1992,2005,F,31,1.05,7.1%,4.9%,59.4%,74.7%,46.6%,63.3%,38.7%,59.9%,44.0%
Roland Garros,12,Clay,23,11,12,47.8%,11,6,5,54.5%,1993,2005,R16,22,1.02,7.8%,5.1%,57.3%,73.1%,44.7%,60.9%,39.9%,59.5%,39.1%
Wimbledon,11,Grass,26,15,11,57.7%,20,7,13,35.0%,1993,2005,QF,26,1.10,12.1%,7.5%,54.3%,80.9%,50.1%,66.9%,36.4%,59.4%,39.6%
US Open,10,Hard,29,19,10,65.5%,12,6,6,50.0%,1993,2004,R16,24,1.09,8.8%,6.1%,53.5%,76.2%,46.0%,62.2%,41.2%,58.3%,47.8%
Olympics,2,,4,2,2,50.0%,5,3,2,60.0%,1996,2004,R16,0,,,,,,,,,,
Davis Cup,8,,25,15,10,60.0%,14,8,6,57.1%,1995,2004,,0,,,,,,,,,,
Miami Masters,12,Hard,27,15,12,55.6%,10,4,6,40.0%,1993,2005,SF,26,1.05,9.4%,6.2%,56.1%,73.8%,49.4%,63.1%,38.9%,59.8%,40.4%
Stockholm,11,Hard,30,22,8,73.3%,9,4,5,44.4%,1995,2005,W,29,1.22,13.2%,4.6%,54.3%,78.5%,51.0%,66.0%,41.6%,57.4%,44.5%
Indianapolis,11,Hard,30,20,10,66.7%,10,5,5,50.0%,1992,2004,W,30,1.14,8.7%,6.8%,52.7%,75.1%,52.1%,64.2%,41.0%,63.3%,40.5%
Indian Wells Masters,11,Hard,27,16,11,59.3%,8,4,4,50.0%,1995,2005,F,27,1.01,8.5%,5.5%,52.9%,75.5%,51.4%,64.1%,36.1%,64.9%,38.4%
Vienna,11,Hard,21,10,11,47.6%,10,4,6,40.0%,1992,2004,SF,21,1.04,10.5%,5.4%,54.4%,76.9%,51.1%,65.2%,36.2%,60.5%,43.3%
Cincinnati Masters,10,Hard,29,20,9,69.0%,9,8,1,88.9%,1994,2004,W,29,1.15,11.1%,6.2%,55.4%,77.4%,49.8%,65.1%,40.1%,60.0%,45.6%
Monte Carlo Masters,10,Clay,14,4,10,28.6%,1,0,1,0.0%,1993,2004,R32,14,0.88,4.2%,5.4%,54.4%,61.6%,40.5%,52.0%,42.4%,41.0%,39.7%
