Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
2021,485,74,,,,,,,,,,,,
2020,263,208,,,,,,,,,198,360,,
2019,219,225,96,1706,84,1683,73,1682,83,1621,187,360,,
2017,105,556,69,1755,57,1732,59,1729,55,1665,,,,
2016,144,423,75,1747,56,1729,65,1712,51,1670,418,135,,
2015,410,106,109,1681,63,1714,76,1696,66,1641,200,360,,
2013,36,1130,39,1844,28,1809,32,1812,30,1755,236,270,,
2012,9,2990,9,2010,9,1943,12,1954,10,1855,54,1330,18,1801
2011,9,2595,14,1972,13,1925,25,1843,13,1833,85,945,63,1664
2010,49,935,34,1861,26,1828,49,1767,27,1735,70,1155,36,1720
2009,38,1015,32,1877,29,1834,36,1793,27,1752,192,345,101,1551
2008,49,750,44,1823,42,1766,56,1743,32,1742,125,465,122,1504
2007,52,632,55,1774,57,1719,64,1697,42,1698,470,96,,
2006,64,599,105,1662,94,1618,113,1601,68,1601,206,268,,
2005,139,299,244,1493,219,1455,152,1546,144,1491,312,151,,
2004,117,378,142,1615,141,1557,106,1624,93,1570,242,188,,
2003,161,240,163,1581,135,1561,147,1556,137,1505,402,102,,
2002,183,196,171,1583,142,1563,170,1538,,,456,74,,
2001,636,23,,,,,,,,,,,,
2000,1078,3,,,,,,,,,,,,
