Match,Result,Unret%,<=3 W%,RiP W%,SvImpact,1st: Unret%,<=3 W%,RiP W%,SvImpact,D Wide%,A Wide%,BP Wide%,2nd: Unret%,<=3 W%,RiP W%,2ndAgg
2025 Rome R64,L vs Musetti,20.0%,27.7%,43.1%,23.4%,31.6%,36.8%,50.0%,37.4%,35.3%,42.9%,66.7%,3.8%,15.4%,36.0%,-77
2025 Marseille R32,W vs Korda,36.7%,50.8%,47.2%,43.2%,47.2%,63.9%,55.3%,58.1%,57.6%,56.4%,80.0%,22.7%,34.1%,38.2%,47
2025 Australian Open R128,L vs Fils,32.2%,43.8%,50.6%,37.1%,43.2%,58.0%,54.3%,52.1%,47.2%,42.2%,50.0%,24.1%,33.3%,46.3%,99
2024 US Open R64,L vs De Minaur,25.9%,36.2%,41.0%,33.3%,33.8%,49.2%,44.2%,47.1%,48.5%,40.6%,50.0%,18.6%,23.3%,37.1%,54
2024 Wimbledon R64,L vs Paul,32.9%,45.0%,52.6%,38.5%,42.2%,56.6%,50.0%,52.3%,41.0%,40.9%,50.0%,23.0%,32.8%,55.3%,36
2024 Roland Garros R128,L vs Misolic,26.2%,37.9%,42.0%,32.8%,37.9%,51.7%,46.3%,49.0%,40.9%,41.9%,50.0%,9.8%,19.6%,37.0%,-23
2024 Quimper CH R32,W vs Barrere,42.0%,55.1%,58.3%,49.9%,58.5%,73.2%,70.6%,71.7%,75.0%,48.0%,66.7%,20.8%,33.3%,47.4%,78
2023 Davis Cup Finals RR,W vs Prizmic,29.0%,44.0%,49.3%,35.5%,50.0%,64.0%,52.0%,63.0%,56.5%,22.2%,50.0%,8.7%,26.1%,47.6%,-30
2022 Helsinki CH R16,L vs Machac,19.0%,36.2%,55.0%,29.0%,29.4%,52.9%,66.7%,46.5%,41.2%,17.6%,50.0%,5.9%,17.6%,37.5%,-72
2022 Roanne CH R16,W vs Blanchet,31.7%,50.5%,50.7%,41.2%,40.9%,59.1%,56.4%,55.5%,65.4%,57.5%,40.0%,15.2%,36.4%,42.9%,7
2022 Bergamo CH F,W vs Struff,51.9%,63.0%,52.2%,55.6%,63.9%,75.0%,46.2%,69.4%,40.0%,28.6%,0.0%,33.3%,46.7%,60.0%,173
Career (11 matches),,31.2%,44.1%,48.3%,37.7%,42.9%,57.7%,52.5%,54.1%,49.2%,42.1%,51.1%,17.1%,28.7%,43.7%,48
