Year,ATP Rank,Points,Elo Rank,Elo,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,Doubles: ATP Rank,Points,D-Lo Rank,D-Lo
Current (2026-03-30),123,512,83,1727,80,1685,175,1543,39,1701,,,,
2025,126,488,110,1684,110,1633,190,1522,46,1680,,,,
2024,94,634,114,1681,106,1646,186,1516,84,1597,482,105,,
2023,168,365,159,1596,125,1588,239,1452,162,1485,,,,
2022,175,321,144,1631,128,1598,219,1478,128,1528,,,,
2021,395,106,,,,,,,,,,,,
2020,610,41,,,,,,,,,1386,10,,
2019,1007,9,,,,,,,,,1722,4,,
2018,,,,,,,,,,,600,16,,
2017,1694,1,,,,,,,,,,,,
