Split,M,W,L,Win%,Set W-L,Set%,Game W-L,Game%,TB W-L,TB%,MS,Hld%,Brk%,A%,DF%,1stIn,1st%,2nd%,SPW,RPW,TPW,DR
Hard,27,12,15,44.4%,31-37,45.6%,334-349,48.9%,8-11,42.1%,23,81.0%,13.6%,11.3%,5.0%,58.5%,73.4%,48.1%,62.9%,32.2%,47.9%,0.87
Clay,10,3,7,30.0%,10-16,38.5%,118-142,45.4%,4-0,100.0%,8,69.3%,22.3%,8.0%,4.9%,57.7%,68.3%,47.1%,59.3%,36.8%,48.4%,0.90
Grass,4,2,2,50.0%,7-3,70.0%,57-46,55.3%,1-0,100.0%,3,86.3%,23.5%,12.1%,3.6%,59.3%,75.1%,55.6%,67.2%,36.6%,51.3%,1.11
Grand Slams,7,2,5,28.6%,13-16,44.8%,146-144,50.3%,1-4,20.0%,7,82.3%,19.2%,9.4%,5.3%,56.5%,73.2%,50.1%,63.2%,35.2%,49.3%,0.95
Masters,2,1,1,50.0%,2-2,50.0%,17-20,45.9%,0-0,-,2,77.8%,15.8%,6.3%,2.8%,53.5%,66.2%,52.2%,59.7%,33.3%,48.4%,0.83
Other Tours,12,4,8,33.3%,8-16,33.3%,114-138,45.2%,4-4,50.0%,11,75.4%,14.8%,11.6%,4.7%,59.1%,73.2%,46.5%,62.3%,33.9%,47.7%,0.90
Best of 5,7,2,5,28.6%,13-16,44.8%,146-144,50.3%,1-4,20.0%,7,82.3%,19.2%,9.4%,5.3%,56.5%,73.2%,50.1%,63.2%,35.2%,49.3%,0.95
Best of 3,34,15,19,44.1%,35-40,46.7%,363-393,48.0%,12-7,63.2%,27,77.3%,15.5%,11.2%,4.7%,59.3%,72.1%,47.9%,62.2%,33.1%,48.0%,0.88
vs Righties,37,15,22,40.5%,43-52,45.3%,461-495,48.2%,11-11,50.0%,32,78.7%,16.8%,10.5%,4.8%,58.0%,72.5%,48.5%,62.4%,34.0%,48.4%,0.90
vs Lefties,1,1,0,100.0%,2-0,100.0%,13-9,59.1%,1-0,100.0%,1,100.0%,10.0%,13.3%,5.3%,73.3%,80.0%,50.0%,72.0%,33.3%,53.5%,1.19
vs Top 10,2,0,2,0.0%,0-5,0.0%,17-32,34.7%,0-1,0.0%,2,66.7%,4.2%,3.9%,5.0%,56.4%,64.7%,39.2%,53.6%,27.3%,42.2%,0.59
